SETTLEMENTDATE,B2PS,BARCALDN,BARCSF,BARRON,BLUEGSF,BRAEMARA,CALLIDE,CALLIDEC,CHILDSF,CLARESF,CLERMSF,COLUMSF,COOPGWF,CPSA,CSPVPS,DAYDSF,DDPS1,DDSF,DG_QLD1,EMERASF,G/STONE,GANGARR,GERMCRK,HAMISF,HAUGHT11,HAYMSF,HUGSF,KAREEYA,KEPBG,KEPSF,KEPWF,KOGANCK,KS,LILYSF,LRSF,MARYRSF,MBAHNTH,MEWF,MIDDLSF,MILLMERN,MSTUART,NETIC,OAKEY,OAKEYSF,PIONEER,ROMA,RPCG,RRSF,RUGBYR1,SMCSF,SRSF,STANWELL,SWANBANK,TARONG,TARONGN,WANDB1,WARWSF,WDGPH,WHITSF,WIVENHOE,WOOLGSF,YABULU,YARANSF,YARWUN,KABANWF,MOUSF,NEV,EDENVSF
2023-01-08 00:00:00,0.33235,0.0,0.1,66.36,0.0,0.0,640.2,0.0,0.0,0.0,0.0,0.0,382.09,0.0,0.0,0.0,0.0,0.0,0,0.0,917.7,0.0,13.5,0.0,0.0,0.0,-0.175,43.0775,0.0,0.0,24.59,718.395,0.0,0.0,0.059,0.0,40.6875,25.5703,0.0,435.119,0.0,0.0,0.0,0.0,9.4,0.0,-1.7,0.0,0.0,0.0,0.0,932.982,106.086,1200.8,441.812,0.0,0.0,0.0,0.0,160.29,0.0,0.0,0.0,115.01,29.046,0.0,,0.0
2023-01-08 00:05:00,0.33235,0.0,0.1,66.36,0.0,0.0,639.8,0.0,0.0,0.0,0.0,0.0,372.04,0.0,0.0,0.0,0.0,0.0,0,0.0,926.1,0.0,13.2,0.0,0.0,0.0,-0.175,42.6125,0.0,0.0,24.71,717.506,0.0,0.0,0.059,0.0,41.1187,27.006,0.0,434.737,0.0,0.0,0.0,0.0,9.5,0.0,-1.7,0.0,0.0,0.0,0.0,869.175,31.32,1207.9,442.0,0.0,0.0,0.0,0.0,198.74,0.0,0.0,0.0,114.4,30.903,0.0,,0.0
2023-01-08 00:10:00,0.33235,0.0,0.1,66.36,0.0,0.0,643.9,0.0,0.0,0.0,0.0,0.0,368.63,0.0,0.0,0.0,0.0,0.0,0,0.0,927.675,0.0,13.2,0.0,0.0,0.0,-0.175,42.745,0.0,0.0,24.71,720.812,0.0,0.0,0.059,0.0,41.0625,26.6383,0.0,434.86,0.0,0.0,0.0,0.0,9.6,0.0,-1.7,0.0,0.0,0.0,0.0,807.932,0.0,1217.7,442.0,0.0,0.0,0.0,0.0,200.09,0.0,0.0,0.0,115.26,33.724,0.0,,0.0
2023-01-08 00:15:00,0.33235,0.0,0.1,66.36,0.0,0.0,640.8,0.0,0.0,0.0,0.0,0.0,374.89,0.0,0.0,0.0,0.0,0.0,0,0.0,926.625,0.0,12.8,0.0,0.0,0.0,-0.175,42.6025,0.0,0.0,24.67,717.724,0.0,0.0,0.059,0.0,39.6,26.1499,0.0,435.165,0.0,0.0,0.0,0.0,8.8,0.0,-1.7,0.0,0.0,0.0,0.0,773.888,0.2175,1185.0,441.625,0.0,0.0,0.0,0.0,163.47,0.0,0.0,0.0,114.55,37.119,0.0,,0.0
2023-01-08 00:20:00,0.33235,0.0,0.1,66.36,0.0,0.0,637.2,0.0,0.0,0.0,0.0,0.0,384.22,0.0,0.0,0.0,0.0,0.0,0,0.0,927.5,0.0,13.1,0.0,0.0,0.0,-0.175,42.4325,0.0,0.0,24.69,716.079,0.0,0.0,0.059,0.0,41.7563,26.9885,0.0,434.6,0.0,0.0,0.0,0.0,9.9,0.0,-1.7,0.0,0.0,0.0,0.0,759.814,0.2175,1179.0,442.75,0.0,0.0,0.0,0.0,160.52,0.0,0.0,0.0,114.1,31.382,0.0,,0.0
2023-01-08 00:25:00,0.33235,0.0,0.1,66.36,0.0,0.0,641.0,0.0,0.0,0.0,0.0,0.0,383.89,0.0,0.0,0.0,0.0,0.0,0,0.0,926.275,0.0,13.1,0.0,0.0,0.0,-0.175,42.885,0.0,0.0,24.66,720.93,0.0,0.0,0.059,0.0,41.2688,23.0,0.0,435.149,0.0,0.0,0.0,0.0,9.4,0.0,-1.7,0.0,0.0,0.0,0.0,752.033,0.2175,1163.0,443.5,0.0,0.0,0.0,0.0,162.07,0.0,0.0,0.0,114.1,26.848,0.0,,0.0
2023-01-08 00:30:00,0.33235,0.0,0.1,66.36,0.0,0.0,642.4,0.0,0.0,0.0,0.0,0.0,388.85,0.0,0.0,0.0,0.0,0.0,0,0.0,927.15,0.0,13.2,0.0,0.0,0.0,-0.175,42.645,0.0,0.0,24.74,720.695,0.0,0.0,0.059,0.0,40.8562,22.5833,0.0,434.768,0.0,0.0,0.0,0.0,9.6,0.0,-1.7,0.0,0.0,0.0,0.0,737.139,0.2175,1129.2,442.375,0.0,0.0,0.0,0.0,160.94,0.0,0.0,0.0,113.49,23.731,0.0,,0.0
2023-01-08 00:35:00,0.33235,0.0,0.1,66.36,0.0,0.0,644.7,0.0,0.0,0.0,0.0,0.0,384.58,0.0,0.0,0.0,0.0,0.0,0,0.0,926.625,0.0,13.2,0.0,0.0,0.0,-0.175,62.615,0.0,0.0,24.67,721.366,0.0,0.0,0.059,0.0,41.7188,25.2139,0.0,435.592,0.0,0.0,0.0,0.0,9.2,0.0,-1.7,0.0,0.0,0.0,0.0,740.92,0.2175,1132.1,442.562,0.0,0.0,0.0,0.0,161.26,0.0,0.0,0.0,115.06,27.028,0.0,,0.0
2023-01-08 00:40:00,0.33235,0.0,0.1,66.36,0.0,0.0,639.9,0.0,0.0,0.0,0.0,0.0,382.43,0.0,0.0,0.0,0.0,0.0,0,0.0,926.8,0.0,13.0,0.0,0.0,0.0,-0.175,64.1,0.0,0.0,24.72,715.76,0.0,0.0,0.059,0.0,42.0188,26.4643,0.0,434.341,0.0,0.0,0.0,0.0,9.5,0.0,-1.7,0.0,0.0,0.0,0.0,757.186,0.2175,1159.5,441.25,0.0,0.0,0.0,0.0,161.06,0.0,0.0,0.0,115.06,24.121,0.0,,0.0
2023-01-08 00:45:00,0.33235,0.0,0.1,66.36,0.0,0.0,641.0,0.0,0.0,0.0,0.0,0.0,373.42,0.0,0.0,0.0,0.0,0.0,0,0.0,928.2,0.0,13.3,0.0,0.0,0.0,-0.175,64.2125,0.0,0.0,24.78,718.949,0.0,0.0,0.059,0.0,42.7125,27.9849,0.0,434.539,0.0,0.0,0.0,0.0,9.7,0.0,-1.7,0.0,0.0,0.0,0.0,745.483,0.2175,1135.7,441.625,0.30771,0.0,0.0,0.0,160.63,0.0,0.0,0.0,114.5,26.932,0.0,,0.0
