SETTLEMENTDATE,AGLSOM,ARWF,BALB,BANN,BHWF,BRYB1WF,BULBES,BULGANA,CHALLWF,CHYTWF,CLOVER,COHUNSF,CROWLWF,DARTM,DEIBDL,DG_VIC1,DIAPURWF,DUNDWF,EILDON,ELAINWF,GANNB,GANNSF,GLRWNSF,HUMEV,JEERA,JEERB,KARSF,KIAMSF,KIWF,LNGS,LOYYANGA,LOYYB,MACARTH,MCKAY,MLWF,MOORAWF,MORTLK,MRTLSWF,MTGELWF,MTMERCER,MURRAY,MUWAWF,NETIC,NEWPORT,NUMURSF,OAKLAND,PORTWF,RUBICON,SALTCRK,STOCKYD,VBB,VPGS,WAUBRAWF,WEMENSF,WINTSF,WKIEWA,YALLOURN,YAMBUK,YATSF,YENDWF,YSWF,BRYB2WF
2023-01-15 00:00:00,0.0,198.5,0.0,0.0,57.78,126.842,3.72,171.75,25.0,25.56,12.85,0.0,0.0,0.0,0.0,0,7.3,199.36,0.04,71.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,0.0,1601,1134.21,163.996,0.0,13.305,230.39,0.0,14.75,52.4918,98.3,0.0,374.87,0.0,0.0,0.0,42.4,123.1,0,41.63,393.17,0.1,0.0,163.927,0.0,0.0,31.9,989.919,28.2,0.0,53.4,24.4,3.87884
2023-01-15 00:05:00,0.0,198.5,0.0,0.0,56.807,143.218,3.98,171.99,28.8,26.68,12.87,0.0,0.0,0.0,0.0,0,7.3,200.18,0.04,69.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7,0.0,1581,1133.08,167.596,0.0,16.065,221.88,0.0,12.32,52.8932,99.2,0.0,374.88,0.0,0.0,0.0,40.9,119.2,0,28.0,419.62,0.0,0.0,163.791,0.0,0.0,31.9,986.69,26.6,0.0,53.4,23.9,3.14641
2023-01-15 00:10:00,0.0,196.6,0.0,0.0,55.617,141.155,5.01,169.87,29.3,26.88,12.88,0.0,0.0,0.0,0.0,0,7.3,199.42,0.04,67.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,0.0,1649,1134.21,155.896,0.0,15.825,221.54,0.0,12.51,52.0005,99.7,0.0,371.8,0.0,0.0,0.0,39.8,121.9,0,25.96,434.71,0.0,0.0,161.573,0.0,0.0,31.9,989.262,25.8,0.0,61.11,24.3,3.87274
2023-01-15 00:15:00,0.0,197.5,0.0,0.0,53.36,141.131,5.07,172.72,26.5,26.33,12.85,0.0,0.0,0.0,0.0,0,7.2,200.03,0.04,56.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,0.0,1661,1134.21,137.597,0.0,15.69,231.66,0.0,11.71,52.4659,99.2,0.0,380.79,0.0,0.0,0.0,38.1,116.6,0,26.74,441.19,29.8,0.0,164.79,0.0,0.0,31.8,988.194,23.5,0.0,60.71,24.4,3.92767
2023-01-15 00:20:00,0.0,194.2,0.0,0.0,52.937,157.079,5.73,172.83,21.0,34.15,12.96,0.0,0.0,0.0,0.0,0,7.2,200.13,0.04,50.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,0.0,1745,1137.97,137.297,0.0,12.975,245.66,0.0,11.32,52.5254,100.4,0.0,380.43,0.0,0.0,0.0,36.4,117.6,0,23.89,446.09,2.9,0.0,162.814,0.0,0.0,32.1,995.686,23.4,0.0,70.61,24.4,3.86664
2023-01-15 00:25:00,0.0,189.3,0.0,0.0,56.1,148.632,4.16,171.16,19.2,31.49,12.86,0.0,0.0,0.0,0.0,0,7.2,200.01,0.04,49.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,0.0,1790,1134.96,126.797,0.0,14.07,239.01,0.0,11.57,52.3087,93.6,0.0,378.22,0.0,0.0,0.0,33.3,117.6,0,23.57,453.05,0.4,0.0,163.674,0.0,0.0,31.9,989.041,23.4,0.0,69.98,24.4,3.83612
2023-01-15 00:30:00,0.0,189.0,0.0,0.0,56.069,127.733,3.96,171.99,16.9,32.95,12.81,0.0,0.0,0.0,0.0,0,7.3,199.98,0.04,54.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1,0.0,1793,1133.46,123.897,0.0,11.715,195.73,0.0,11.5,51.9425,92.8,0.0,378.96,0.0,0.0,0.0,31.1,115.2,0,26.83,468.08,0.0,0.0,160.478,0.0,0.0,32.0,988.917,24.8,0.0,68.39,24.3,3.90936
2023-01-15 00:35:00,0.0,187.7,0.0,0.0,56.39,120.94,4.06,172.52,14.5,38.94,12.9,0.0,0.0,0.0,0.0,0,7.3,199.97,0.04,55.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2,0.0,1804,1133.08,141.497,0.0,12.45,154.91,0.0,11.48,52.2752,84.5,0.0,374.84,0.0,0.0,0.0,51.3,113.7,0,27.65,453.39,0.0,0.0,163.411,0.0,0.0,31.9,986.941,26.2,0.0,59.43,24.4,3.87884
2023-01-15 00:40:00,0.0,188.5,0.0,0.0,60.082,109.197,2.39,166.9,14.1,39.71,12.78,0.0,0.0,0.0,0.0,0,7.3,199.61,0.04,57.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1,0.0,1792,1132.71,205.195,0.0,14.25,135.7,0.0,11.44,52.0295,86.1,0.0,375.47,0.0,0.0,0.0,46.0,117.2,0,34.24,425.77,0.0,0.0,161.661,0.0,0.0,31.9,989.104,26.5,0.0,40.4,24.7,3.31731
2023-01-15 00:45:00,0.0,188.1,0.0,0.0,58.353,109.789,3.21,163.73,16.6,35.66,12.85,0.0,0.0,0.0,0.0,0,7.2,200.12,0.04,58.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,0.0,1795,1133.08,234.495,0.0,13.455,123.02,0.0,11.74,51.796,90.9,0.0,372.27,0.0,0.0,0.0,43.8,115.4,0,28.3,396.43,0.0,0.0,161.052,0.0,0.0,31.9,985.561,20.0,0.0,21.34,24.7,3.47601
2023-01-15 00:50:00,0.0,188.9,0.0,0.0,50.47,123.363,2.87,168.05,15.9,31.48,12.82,0.0,0.0,0.0,0.0,0,7.2,200.06,0.04,52.86,0.02989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,0.0,1804,1133.83,245.894,0.0,11.82,130.31,0.0,11.51,52.3652,88.7,0.0,365.87,0.0,0.0,0.0,42.7,110.7,0,29.02,398.41,0.0,0.0,163.013,0.0,0.0,32.0,995.029,19.2,0.0,5.67,24.8,3.58587
2023-01-15 00:55:00,0.0,182.7,0.0,0.0,44.669,121.654,3.34,170.82,17.2,29.47,12.86,0.0,0.0,0.0,0.0,0,7.2,199.94,0.04,37.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,0.0,1800,1134.58,249.094,0.0,11.055,136.88,0.0,11.52,51.6968,96.7,0.0,369.42,0.0,0.0,0.0,38.1,106.1,0,28.02,395.44,0.0,0.0,164.199,0.0,0.0,31.9,990.578,18.1,0.0,5.55,24.7,3.81781
2023-01-15 01:00:00,0.0,178.0,0.0,0.0,32.867,136.98,4.16,171.89,16.9,32.98,12.79,0.0,0.0,0.0,0.0,0,7.3,200.28,0.04,30.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7,0.0,1796,1134.21,246.094,0.0,10.41,132.55,0.0,11.53,52.4857,97.3,0.0,367.04,0.0,0.0,0.0,38.1,105.8,0,28.5,385.87,29.0,0.0,161.137,0.0,0.0,31.9,989.668,16.9,0.0,28.12,24.0,3.92157
2023-01-15 01:05:00,0.0,177.8,0.0,0.0,49.422,156.805,4.22,174.25,17.7,28.79,12.84,0.0,0.0,0.0,0.0,0,7.3,199.52,0.04,21.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6,0.0,1700,1133.46,232.195,0.0,10.365,178.87,0.0,11.75,52.5132,107.3,0.0,375.68,0.0,0.0,0.0,38.5,108.2,0,27.44,376.78,1.1,0.0,164.815,0.0,0.0,31.9,987.724,17.5,0.0,28.49,24.2,3.75677
2023-01-15 01:10:00,0.0,177.7,0.0,0.0,87.083,165.246,1.63,172.79,24.8,33.74,12.74,0.0,0.0,0.0,0.0,0,7.3,199.93,0.04,13.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6,0.0,1698,1132.33,229.795,0.0,10.86,198.63,0.0,11.89,52.4827,101.6,0.0,376.35,0.0,0.0,0.0,35.5,104.4,0,18.36,389.7,0.0,0.0,167.399,0.0,0.0,31.9,989.167,16.2,0.0,39.22,24.4,3.89105
