SETTLEMENTDATE,BASTYAN,BBP31,BUTLERSG,CETHANA,CLUNY,CTHLWF,DEVILS_G,DG_TAS1,FISHER,GORDON,GRANWF,JBUTTERS,LEM_WIL,LI_WY_CA,LK_ECHO,MACKNTSH,MEADOWBK,MUSSELRO,NETIC,PALOONA,PTINA110,PTINA220,REECE,REPULSE,ROWALLAN,TARRALEA,TREVALLN,TRIBUTE,TUNGATIN,TVCCPS,WOOLNTH1
2023-05-25 00:00:00,0.0,-1.07,-2e-06,0.0,2.23804,68.4855,0.0,0,0.0,13.6269,106.21,0.0,52.1,49.0323,0.0,0.0,4.94434,138.2,447.0,9.86,15.6374,19.54,84.94,4.14008,0.0,56.0,20.01,0.0,5.15002,0,107.55
2023-05-25 00:05:00,0.0,0.0,-2e-06,0.0,2.13825,66.8376,0.0,0,0.0,10.2431,106.51,0.0,48.9,47.6831,0.0,0.0,5.1444,147.3,447.0,9.82,11.8606,8.28,88.89,4.17792,0.0,56.1,19.92,0.0,6.87002,0,108.87
2023-05-25 00:10:00,0.0,0.0,-2e-06,0.0,2.17212,64.0787,0.0,0,0.0,8.77821,106.93,0.0,47.1,47.3391,0.0,0.0,5.08724,142.6,447.0,9.77,6.48056,1.76,75.19,4.10834,0.0,56.0,19.77,0.0,2.63002,0,109.42
2023-05-25 00:15:00,0.0,0.0,-2e-06,0.0,2.11902,66.7643,0.0,0,0.0,10.2577,106.78,0.0,47.5,47.7685,0.0,0.0,4.8586,139.1,447.0,9.89,6.28736,2.85,72.47,4.0058,0.0,56.1,19.9,0.0,3.00002,0,115.45
2023-05-25 00:20:00,0.0,0.0,-2e-06,0.0,2.2005,65.0492,0.0,0,0.0,11.913,106.39,0.0,49.1,48.6105,0.0,0.0,5.20156,128.3,440.149993896,9.74,12.9973,11.17,65.76,4.43183,0.0,56.0,20.06,0.0,8.83002,0,113.77
2023-05-25 00:25:00,0.0,0.0,-2e-06,0.0,2.21424,63.7675,0.0,0,0.0,10.7411,106.38,0.0,49.5,47.78,0.0,0.0,4.91576,125.6,447.0,9.72,12.8619,8.2,69.77,4.14008,0.0,56.2,19.75,0.0,8.25002,0,114.56
2023-05-25 00:30:00,0.0,0.0,-2e-06,0.0,2.25269,29.3309,0.0,0,0.0,13.3925,104.99,0.0,51.0,48.9332,0.0,0.0,5.0015,123.6,442.970001221,9.85,17.4013,15.44,66.37,4.22187,0.0,56.2,20.09,0.0,13.25,0,117.24
2023-05-25 00:35:00,0.0,0.0,-2e-06,0.0,2.27649,8.01709,0.0,0,0.0,28.8981,105.75,0.0,11.3,47.7933,0.0,0.0,5.20156,121.5,447.0,9.81,89.18,44.2,1.26,2.43839,0.0,56.0,25.88,0.0,21.07,0,111.02
2023-05-25 00:40:00,0.0,-1.04,-2e-06,0.0,2.3003,7.92554,0.0,0,0.0,48.0806,107.38,0.0,0.0,48.2906,0.0,0.0,4.62996,125.5,447.0,10.02,97.9959,59.5,0.0,2.24063,0.0,56.1,27.13,0.0,23.72,0,113.0
2023-05-25 00:45:00,0.0,-1.03,-2e-06,0.0,2.21973,11.2764,0.0,0,0.0,33.4099,106.43,0.0,0.0,47.4845,0.0,0.0,4.88718,122.5,447.0,9.96,97.8388,61.35,0.0,1.99283,0.0,56.0,25.76,0.0,22.42,0,112.38
2023-05-25 00:50:00,0.0,0.0,-2e-06,0.0,2.21424,6.41184,0.0,0,0.0,16.8423,105.63,0.0,0.0,47.3984,0.0,0.0,5.08724,127.1,447.0,9.92,98.1127,76.89,0.0,2.31022,0.0,56.0,19.98,0.0,11.69,0,114.18
2023-05-25 00:55:00,0.0,0.0,-2e-06,0.0,2.27192,1.74258,0.0,0,0.0,10.9242,104.5,0.0,0.0,47.9807,0.0,0.0,5.23014,128.6,447.0,9.98,113.719,81.89,0.0,2.34195,0.0,56.1,20.09,0.0,9.95002,0,111.27
