SETTLEMENTDATE,BANGOWF,BAYSW,BERYLSF,BHILLGT,BOCOROCK,BODWF,BOMENSF,BROKENH,CAPTL_WF,COLEASF,COLONGRA,COLWF0,CROOKWF,CRURWF,CRWASF,CULLERIN,DARLSF1,DG_NSW1,ERARING,ERGT01,FINLYSF,GNNDHSF,GOONSF,GRIFSF,GULLRGWF,GULLRSF,GULLRWF,GUNNING,HEZ1,HILLSTN,HUMENSW,JEMALNG,JUNEESF,LIDDELL,LIMOSF1,LIMOSF2,MANSLR,METZSF,MLSP,MOLNGSF,MOREESF,MP,NETIC,NEVERSF,NYNGAN,PARSF,ROYALLA,SAPHWF,SEBSF,SHOALHAV,SITHE,SNOWY1,SNOWY2,SNOWY3,SNOWY6,STWF,SUNRSF,SUNTPSF,TALLAWAR,TARALGA,URANQ,VP,WAGGNSF,WALGRV,WELLSF,WOODLWN,WRSF,WRWF,QBYNB,WSTWYSF,NEWENSF,AVLSF
2023-04-30 00:00:00,21.6946,1356.86,0.0,0.0,17.0,12.214,0.0,0.0,0.0,0.0,0.0,18.1003,8.12329,5.79912,0.0,2.43,0.0,0,2796.06,0.0,0.0,0.0,0.0,0.001526,11.7348,0.0,8.88051,4.62943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,934.878,161.330001831,0.0,0.0,0.00153,0.0,2.61387,0.0,0.0,77.8255,474.77,458.901,31.8,0.0,30.7677,0.0,0.0,400,11.0835,0.0,371.691,0.0,8.51962,0.0,1.91165,0.0,23.2273,0.0,0.0,0.0,0.0
2023-04-30 00:05:00,18.8953,1346.14,0.0,0.0,16.62,13.1643,0.0,0.0,0.0,0.0,0.0,20.8286,8.66285,5.09995,0.0,2.33,0.0,0,2790.94,0.0,0.0,0.0,0.0,0.001526,9.32486,0.0,9.8771,3.45272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,908.852,165.179992676,0.0,0.0,0.00153,0.0,2.67796,0.0,0.0,77.8155,468.24,449.963,31.0,0.0,31.4708,0.0,0.0,391,15.1009,0.0,369.567,0.0,1.54234,0.0,2.33353,0.0,22.6877,0.58049,0.0,0.0,0.0
2023-04-30 00:10:00,20.9936,1349.39,0.0,0.0,16.88,14.0309,0.0,0.0,0.0,0.0,0.0,24.7227,10.4243,4.19722,0.0,2.14,0.0,0,2792.96,0.0,0.0,0.0,0.0,0.001526,7.66488,0.0,9.81997,3.30275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,906.532,182.470001221,0.0,0.0,0.00153,0.0,2.72374,0.0,0.0,77.6774,466.53,447.121,31.0,0.0,30.2623,0.0,0.0,358,14.0243,0.0,369.738,0.0,3.63664,0.0,2.52689,0.0,21.7099,0.0,0.0,0.0,0.0
2023-04-30 00:15:00,24.3977,1354.83,0.0,0.0,14.98,13.6416,0.0,0.0,0.0,0.0,0.0,25.7878,11.5035,3.69718,0.0,2.77,0.0,0,2798.6,0.0,0.0,0.0,0.0,0.001526,7.33489,0.0,7.43957,3.29244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,916.078,159.660003662,0.0,0.0,0.00153,0.0,3.93225,0.0,0.0,77.7452,477.41,466.744,32.0,0.0,30.1305,0.0,0.0,324,11.4095,0.0,371.129,0.0,3.67759,0.0,3.10698,0.0,21.2705,0.71749,0.0,0.0,0.0
2023-04-30 00:20:00,31.8991,1354.98,0.0,0.0,14.6,12.9906,0.0,0.0,0.0,0.0,0.0,24.8692,15.4928,2.59976,0.0,2.59,0.0,0,2796.06,0.0,0.0,0.0,0.0,0.001526,9.13486,0.0,7.94104,4.67863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,906.703,141.38999939,0.0,0.0,0.00153,0.0,3.72168,0.0,0.0,77.5769,468.86,456.306,31.7,0.0,26.8895,0.0,0.0,328,12.0613,0.0,371.056,0.0,2.22368,0.0,3.54644,0.0,21.644,0.1785,0.0,0.0,0.0
2023-04-30 00:25:00,32.4935,1353.61,0.0,0.0,13.39,14.8243,0.0,0.0,0.0,0.0,0.0,26.4363,16.235,3.19715,0.0,2.6,0.0,0,2797.43,0.0,0.0,0.0,0.0,0.001526,12.2948,0.0,12.1179,3.90976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,902.089,158.509994507,0.0,0.0,0.00153,0.0,3.28222,0.0,0.0,77.6572,467.34,451.748,31.0,0.0,25.9666,0.0,0.0,323,16.1373,0.0,369.445,0.0,3.94008,0.0,4.25837,0.0,17.6486,0.77949,0.0,0.0,0.0
2023-04-30 00:30:00,32.0951,1352.9,0.0,0.0,13.45,17.489,0.0,0.0,7.60363,0.0,0.0,24.0482,21.7453,2.89624,0.0,1.94,0.0,0,2795.4,0.0,0.0,0.0,0.0,0.001526,14.8748,0.0,14.3205,3.37972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,902.968,157.630004883,0.0,0.0,0.00153,0.0,2.9984,0.0,0.0,77.7175,469.83,451.612,31.0,0.0,22.5937,0.0,0.0,298,21.3266,0.0,370.934,0.0,2.3875,0.0,3.74859,0.0,15.649,0.40949,0.0,0.0,0.0
2023-04-30 00:35:00,31.3974,1351.9,0.0,0.0,14.25,19.7308,0.0,0.0,7.79895,0.0,0.0,23.0289,18.5849,3.69718,0.0,2.47,0.0,0,2796.89,0.0,0.0,0.0,0.0,0.001526,15.8548,0.0,13.6794,5.1801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,908.388,30.7900009155,0.0,0.0,0.00153,0.0,2.76951,0.0,0.0,77.6547,474.99,464.096,31.9,0.0,19.6384,0.0,0.0,297,21.5756,0.0,372.326,0.0,5.66392,0.0,3.69586,0.0,16.2008,0.90749,0.0,0.0,0.0
2023-04-30 00:40:00,35.0958,1353.27,0.0,0.0,13.73,20.0301,0.0,0.0,9.69741,0.0,0.0,26.6926,24.332,3.99809,0.0,2.81,0.0,0,2792.45,0.0,0.0,0.0,0.0,0.001526,16.9647,0.0,12.6701,3.99069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,901.088,21.6599998474,0.0,0.0,0.00153,0.0,2.2385,0.0,0.0,77.396,465.66,453.033,31.3,0.0,18.8473,0.0,0.0,317,15.6869,0.0,371.129,0.0,2.85663,0.0,5.51522,0.0,12.2859,0.1345,0.0,0.0,0.0
2023-04-30 00:45:00,35.3957,1352.49,0.0,0.0,13.18,18.6612,0.0,0.0,13.1076,0.0,0.0,35.7992,28.0638,3.49805,0.0,3.88,0.0,0,2793.26,0.0,0.0,0.0,0.0,0.001526,19.0147,0.0,14.1745,2.80922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,904.53,0.0,0.0,0.0,0.00153,0.0,3.66674,0.0,0.0,77.6849,468.24,462.129,31.2,0.0,19.5614,0.0,0.0,347,8.77272,0.0,372.79,0.0,6.96146,0.0,7.46642,0.0,11.3033,0.0025,0.0,0.0,0.0
