SETTLEMENTDATE,ADPBA1,ADPPV,AGLHAL,ANGASTON,BARKIPS,BLUFF,BNGSF,BOWWBA,BOWWPV,CANUNDA1,CATHROCK,CLEMGPWF,DALNTH,DG_SA1,DRYCGT,HALLWF,HALLWF2,HORNSDAL,HORNSDAL2,HORNSDAL3,HORNSDPR,HVWWBA,HVWWPV,LADBROKE,LBB,LGAPWF,LGAPWF2,LKBONNY1,LKBONNY3,LKBONNY_2,LONSDALE,MAPS2PV,MAPS3PV,MBPS2PV,MINTARO,MTMILLAR,MWPSPV,NBHWF,NETIC,NPPPPS,OSBORNE,PAREPW,PORTLCN,QUARANTN,SNAPPER1,SNOWNTH,SNOWSTH,SNOWTOWN,SNUG,STANVAC,STARFHILL,TBSF,TORRIS,WATERLWF,WGWF,WPWF,CBWWBA,PAREPS,BOLIVPS,TB2B,TB2SF,TI
2023-04-30 00:00:00,0.0,0.0,0.0,-0.1,208.77,0.0,0.0,0.356,0.001,3.70432,2.6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.653,0.0,0.03,0.0,0.0,0.0,2.8579,0.0,18.4983,0.0,0.0,0.0,0.0,0.08545,4.8,0.0,0.0,327.470001221,491.655,187.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29875,0.0,129.0,0.0,0.0,6.17,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-30 00:05:00,0.0,0.0,0.0,0.0,205.98,0.0,0.0,0.839,0.0,1.30152,2.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.645,0.0,0.03,0.0,0.0,0.0,3.84031,0.0,10.2874,0.0,0.0,0.0,0.0,0.08545,4.8,0.0,0.0,343.869995117,488.971,187.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69863,0.0,119.0,0.0,0.0,4.62,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-30 00:10:00,0.0,0.0,0.0,0.0,208.77,0.0,0.0,1.891,0.0,2.20257,1.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,3.703,0.0,0.03,0.0,0.0,0.0,5.62649,0.0,7.16719,0.0,0.0,0.0,0.0,0.08545,4.8,0.0,0.0,380.269989014,488.3,180.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79889,0.0,120.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-30 00:15:00,0.0,0.0,0.0,0.0,209.98,0.0,0.0,1.943,0.0,3.40397,0.6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,3.951,0.0,0.03,0.0,0.0,0.0,6.87683,0.0,6.62023,0.0,0.0,0.0,0.0,0.08545,5.7,0.0,0.0,390.589996338,492.327,160.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69892,0.0,124.0,0.0,0.0,6.68,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-30 00:20:00,0.0,0.0,0.0,-0.1,196.2,0.0,0.0,1.943,0.0,3.80444,1.6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,3.951,0.0,0.04,0.6,0.0,0.0,9.02025,0.0,7.25097,0.0,0.0,0.0,0.0,0.08545,5.7,0.0,0.0,368.059997559,491.655,175.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59895,0.0,121.0,0.0,0.0,6.75,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-30 00:25:00,0.0,0.0,0.0,-0.1,193.79,0.0,0.0,1.943,0.0,5.00584,1.5,0.0,0.0,0,0.0,0.0,0.0,0.1,0.0,0.0,4.2,3.976,0.0,0.03,1.35,0.0,0.0,9.55611,0.0,9.7349,0.0,0.0,0.0,0.0,0.08545,6.2,0.0,0.0,373.519989014,492.327,186.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.59866,0.0,122.0,0.0,0.0,6.51,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-30 00:30:00,0.0,0.0,0.0,0.0,194.16,0.0,0.0,1.943,0.0,6.10712,2.4,0.0,0.03815,0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,3.976,0.0,0.03,0.0,0.0,0.0,9.28818,0.0,11.6942,0.0,0.0,0.0,0.0,0.08545,6.2,0.0,0.0,368.920013428,491.655,188.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19878,0.0,122.0,0.0,0.0,5.99,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-30 00:35:00,0.765,0.0,0.0,-0.1,191.36,0.0,0.0,1.941,0.001,6.60771,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,3.976,0.0,0.03,0.0,0.0,0.0,8.30578,0.0,17.3932,0.0,0.0,0.0,0.0,0.08545,6.7,0.0,0.0,410.709991455,491.655,187.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19878,0.0,107.0,0.0,0.0,5.86,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-30 00:40:00,0.2,0.0,0.0,-0.1,191.53,0.0,0.0,0.119,0.001,5.30619,1.8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,3.976,0.0,0.03,0.0,0.0,0.0,6.6089,0.0,17.41,0.0,0.0,0.0,0.0,0.08545,6.2,0.0,0.0,417.399993896,488.971,188.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0988,0.0,81.0,0.0,0.0,5.58,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-30 00:45:00,0.0,0.0,0.0,-0.1,192.84,0.0,0.0,0.0,0.0,4.50526,2.8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,0.704,0.0,0.03,0.0,0.0,0.0,5.98373,0.0,15.7633,0.0,0.0,0.0,0.0,0.08545,5.7,0.0,0.0,480.040008545,470.851,168.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69892,0.0,64.0,0.0,0.0,6.82,0.0,0.0,0.0,0.0,0.0,0.0
