SETTLEMENTDATE,ADPBA1,ADPPV,AGLHAL,ANGASTON,BARKIPS,BLUFF,BNGSF,BOWWBA,BOWWPV,CANUNDA1,CATHROCK,CLEMGPWF,DALNTH,DG_SA1,DRYCGT,HALLWF,HALLWF2,HORNSDAL,HORNSDAL2,HORNSDAL3,HORNSDPR,HVWWBA,HVWWPV,LADBROKE,LBB,LGAPWF,LGAPWF2,LKBONNY1,LKBONNY3,LKBONNY_2,LONSDALE,MAPS2PV,MAPS3PV,MBPS2PV,MINTARO,MTMILLAR,MWPSPV,NBHWF,NETIC,NPPPPS,OSBORNE,PAREPW,PORTLCN,QUARANTN,SNAPPER1,SNOWNTH,SNOWSTH,SNOWTOWN,SNUG,STANVAC,STARFHILL,TBSF,TORRIS,WATERLWF,WGWF,WPWF,CBWWBA,PAREPS,BOLIVPS,TB2B,TB2SF
2023-04-09 00:00:00,1.877,0.0,0.0,-0.1,0.0,30.5,0.0,0.0,0.0,15.7183,14.3,20.8181,0.0,0,0.0,64.87,56.75,38.6,36.4,35.0,4.5,0.0,0.0,0.04,4.65,91.19,64.29,39.2962,14.4021,60.4007,0.0,0.0,0.0,0.0,30.9421,14.8,0.0,57.5,37.6399993896,176.237,0.0,75.49,0.0,0.0,0.0,46.9697,71.2204,40.8193,0.0,0.0,8.89741,0.0,0.0,59.5,70.9,27.28,0.0,0.05,0.0,0.0,0.0
2023-04-09 00:05:00,0.768,0.0,0.0,-0.1,0.0,31.2,0.0,0.0,0.0,15.8184,13.1,20.4579,0.0,0,0.0,61.91,55.46,38.7,36.7,33.6,0.1,0.0,0.0,0.03,0.0,89.78,62.62,37.51,17.3048,52.7755,0.0,0.0,0.0,0.0,29.3997,18.2,0.0,57.5,90.4000015259,172.21,0.0,62.33,0.0,0.0,0.0,41.4233,73.2819,39.8788,0.0,0.0,6.59808,0.0,0.0,69.1,69.3,29.24,0.0,0.05,0.0,0.0,0.0
2023-04-09 00:10:00,0.802,0.0,0.0,-0.1,0.0,31.4,0.0,0.0,0.0,11.8138,17.9,20.53,0.0,0,0.0,59.1,53.82,39.6,38.3,34.7,0.0,0.0,0.0,0.03,0.0,88.42,66.13,38.2244,24.2826,55.3873,0.0,0.0,0.0,0.0,30.173,19.2,0.0,58.2,132.770004272,172.21,0.0,55.2,0.0,0.0,0.0,41.2164,74.7608,41.3885,0.0,0.0,5.99825,0.0,0.0,65.6,68.9,34.82,0.0,0.05,0.0,0.0,0.0
2023-04-09 00:15:00,0.0,0.0,0.0,-0.2,0.0,31.1,0.0,0.0,0.0,16.8196,18.8,21.4664,0.0,0,0.0,59.4,51.96,40.3,37.5,34.1,1.8,0.0,0.0,0.03,5.25,84.62,58.62,35.0093,31.4278,70.1842,0.0,0.0,0.0,0.0,30.4294,16.8,0.0,55.3,108.330001831,172.881,0.0,49.27,0.0,0.0,0.0,43.4095,77.3539,40.6346,0.0,0.0,10.0971,0.0,0.0,59.5,68.7,37.52,0.0,0.05,0.0,0.0,0.0
2023-04-09 00:20:00,0.0,0.0,0.0,-0.2,0.0,31.6,0.0,0.0,0.0,27.3319,16.9,22.7631,0.0,0,0.0,61.21,50.2,34.7,34.9,33.8,3.5,0.0,0.0,0.02,3.9,83.0,57.25,41.1716,22.8312,91.7311,0.0,0.0,0.0,0.0,29.8697,14.4,0.0,57.5,143.029998779,174.223,0.0,54.0,0.0,0.0,0.0,43.0462,74.022,41.1316,0.0,0.0,12.1964,0.0,0.0,56.4,68.5,41.6,0.0,0.05,0.0,0.0,0.0
2023-04-09 00:25:00,0.0,0.0,0.0,-0.1,0.0,30.9,0.0,0.0,0.0,27.432,17.2,24.636,0.0,0,0.0,63.15,48.96,37.1,30.4,36.4,6.7,0.0,0.0,0.03,7.2,80.41,56.79,48.9416,12.6158,89.8064,0.0,0.0,0.0,0.0,30.8139,13.4,0.0,57.4,127.819999695,177.579,0.0,57.78,0.0,0.0,0.0,45.1107,70.818,42.3413,0.0,0.0,5.29845,0.0,0.0,57.5,69.2,46.15,0.0,0.05,0.0,0.0,0.0
2023-04-09 00:30:00,1.656,0.0,0.0,-0.1,0.0,29.5,0.0,0.0,0.0,28.1328,14.8,27.4453,0.0,0,0.0,64.87,42.86,34.3,33.3,41.8,0.0,0.0,0.0,0.03,0.0,80.03,49.69,54.1215,16.5233,82.4045,0.0,0.0,0.0,0.0,28.7161,12.9,0.0,57.5,152.410003662,171.539,0.0,62.39,0.0,0.0,0.0,43.5872,69.4362,40.9058,0.0,0.0,6.99796,0.0,0.0,59.3,67.5,47.05,0.0,0.05,0.0,0.0,0.0
2023-04-09 00:35:00,0.007,0.0,0.0,-0.1,0.0,27.8,0.0,0.0,0.0,22.326,12.0,27.9496,0.0,0,0.0,65.94,38.24,37.2,38.4,45.6,2.8,0.0,0.0,0.03,0.0,76.53,49.1,58.4977,14.2905,73.323,0.0,0.0,0.0,0.0,31.0275,12.9,0.0,55.3,111.400001526,173.552,0.0,63.06,0.0,0.0,0.0,48.8338,71.8588,40.5553,0.0,0.0,8.19761,0.0,0.0,59.4,67.6,44.47,0.0,0.05,0.0,0.0,0.0
2023-04-09 00:40:00,4.869,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,20.3237,12.8,28.3098,0.0,0,0.0,67.99,36.1,38.4,38.3,43.5,1.7,0.0,0.0,0.03,12.0,77.56,46.9,45.1013,16.8025,63.6938,0.0,0.0,0.0,0.0,30.3867,14.4,0.0,58.0,117.739997864,178.25,0.0,59.73,0.0,0.0,0.0,46.1707,75.9265,41.6326,0.0,0.0,8.09764,0.0,0.0,55.4,65.8,36.4,0.0,0.05,0.0,0.0,0.0
2023-04-09 00:45:00,1.173,0.0,0.0,0.0,0.0,26.6,0.0,0.0,0.0,23.127,15.5,25.8606,0.0,0,0.0,66.65,34.9,41.0,39.0,40.0,0.0,0.0,0.0,0.03,7.05,77.14,47.42,46.0837,15.0161,58.8713,0.0,0.0,0.0,0.0,29.8697,12.9,0.0,57.2,146.309997559,174.894,0.0,56.93,0.0,0.0,0.0,42.5236,82.1069,46.7334,0.0,0.0,6.09822,0.0,0.0,47.8,61.1,34.01,0.0,0.05,0.0,0.0,0.0
2023-04-09 00:50:00,0.009,0.0,0.0,0.0,0.0,26.1,0.0,0.0,0.0,24.9291,13.7,25.5724,0.0,0,0.0,67.79,37.83,38.3,34.1,35.8,0.0,0.0,0.0,0.03,0.0,87.92,49.21,47.4233,17.249,73.4175,0.0,0.0,0.0,0.0,29.3997,10.5,0.0,58.5,151.940002441,172.881,0.0,45.99,0.0,0.0,0.0,47.9379,84.116,46.8347,0.0,0.0,7.29787,0.0,0.0,48.5,61.7,31.34,0.0,0.05,0.0,0.0,0.0
2023-04-09 00:55:00,0.0,0.0,0.0,0.0,0.0,23.9,0.0,0.001,0.0,21.9256,12.2,23.8436,0.0,0,0.0,65.55,38.91,40.2,31.6,34.9,1.8,0.0,0.0,0.03,0.0,88.54,52.3,43.583,14.9603,79.9763,0.0,0.0,0.0,0.0,29.4851,10.0,0.0,57.3,148.479995728,174.223,0.0,40.89,0.0,0.0,0.0,49.2169,82.5144,46.5641,0.0,0.0,4.99854,0.0,0.0,49.8,54.2,25.57,0.0,0.05,0.0,0.0,0.0
2023-04-09 01:00:00,0.0,0.0,0.0,0.0,0.0,19.6,0.0,0.001,0.0,23.0269,13.6,21.6105,0.01678,0,0.0,65.81,39.86,36.9,32.1,35.3,2.2,0.0,0.0,0.03,0.0,86.19,52.46,30.4545,17.8072,76.8558,0.0,0.0,0.0,0.0,29.7842,10.0,0.0,56.8,164.020004272,174.894,0.0,34.58,0.0,0.0,0.0,48.844,80.3097,45.0835,0.0,0.0,2.79918,0.0,0.0,51.6,47.7,19.0,0.0,0.05,0.0,0.0,0.0
2023-04-09 01:05:00,4.026,0.0,0.0,-0.1,0.0,19.7,0.0,0.001,0.0,21.0245,12.7,20.8902,0.0,0,0.0,67.67,41.46,42.9,30.2,37.5,0.0,0.0,0.0,0.03,5.1,91.55,58.15,33.491,24.1151,73.4057,0.0,0.0,0.0,0.0,29.357,10.0,0.0,52.3,204.710006714,174.223,0.0,31.23,0.0,0.0,0.0,47.4711,72.4159,46.4093,0.0,0.0,2.09939,0.0,0.0,51.8,46.9,17.86,0.0,0.05,0.0,0.0,0.0
2023-04-09 01:10:00,5.786,0.0,0.0,-0.1,0.0,14.9,0.0,0.001,0.0,26.2306,12.4,21.4664,0.0,0,0.0,64.37,41.67,49.0,32.7,40.2,0.1,0.0,0.0,0.03,3.45,93.52,58.71,33.1338,20.0401,84.5697,0.0,0.0,0.0,0.0,29.5706,10.5,0.0,49.3,165.380004883,171.539,0.0,35.98,0.0,0.0,0.0,47.572,70.4371,40.1016,0.0,0.0,1.6995,0.0,0.0,55.0,46.3,21.59,0.0,0.05,0.0,0.0,0.0
2023-04-09 01:15:00,2.594,0.0,0.0,-0.1,0.0,12.4,0.0,0.0,0.0,24.1282,14.3,19.9537,0.07477,0,0.0,61.66,44.32,55.6,35.1,43.8,3.5,0.0,0.0,0.03,0.0,93.57,60.25,27.1501,12.7274,78.2293,0.0,0.0,0.0,0.0,30.3012,9.6,0.0,45.2,143.940002441,174.223,0.0,33.31,0.0,0.0,0.0,42.2696,69.485,36.6647,0.0,0.0,2.69921,0.0,0.0,64.4,43.5,22.66,0.0,0.05,0.0,0.0,0.0
2023-04-09 01:20:00,1.394,0.0,0.0,-0.1,0.0,12.2,0.0,0.0,0.0,20.7242,12.6,20.3139,0.00458,0,0.0,58.52,47.2,55.1,36.8,45.7,8.4,0.0,0.0,0.03,0.0,92.29,54.33,29.9187,17.6956,61.4721,0.0,0.0,0.0,0.0,30.0021,8.6,0.0,39.2,148.580001831,172.21,0.0,42.21,0.0,0.0,0.0,43.2949,69.4797,35.5792,0.0,0.0,3.89886,0.0,0.0,66.6,47.9,20.33,0.0,0.05,0.0,0.0,0.0
2023-04-09 01:25:00,0.004,0.0,0.0,-0.1,0.0,13.5,0.0,0.0,0.0,14.6171,12.5,20.602,0.0,0,0.0,60.41,48.2,55.6,39.6,50.1,0.0,0.0,0.0,0.04,0.0,89.46,55.23,31.7048,20.71,55.0191,0.0,0.0,0.0,0.0,29.1433,8.1,0.0,32.1,185.539993286,166.17,0.0,46.79,0.0,0.0,0.0,42.7537,66.1756,33.3508,0.0,0.0,4.29875,0.0,0.0,65.5,50.4,23.56,0.0,0.05,0.0,0.0,0.0
