SETTLEMENTDATE,BASTYAN,BBP31,BUTLERSG,CETHANA,CLUNY,CTHLWF,DEVILS_G,DG_TAS1,FISHER,GORDON,GRANWF,JBUTTERS,LEM_WIL,LI_WY_CA,LK_ECHO,MACKNTSH,MEADOWBK,MUSSELRO,NETIC,PALOONA,PTINA110,PTINA220,REECE,REPULSE,ROWALLAN,TARRALEA,TREVALLN,TRIBUTE,TUNGATIN,TVCCPS,WOOLNTH1
2024-01-22 00:00:00,0.0,0.0,9.2,0.0,8.25772,27.5975,0.0,0,0.0,12.3671,68.71,111.055,32.8381,78.3532,0.0,0.0,17.9768,43.0,445.709991455,0.0,5.27064,21.71,0.0,14.0072,0.0,69.1,25.06,0.0,2.1,0,54.45
2024-01-22 00:05:00,0.0,0.0,9.2,0.0,8.29618,24.8447,0.0,0,0.0,11.4369,75.91,109.389,32.663,77.2415,0.0,0.0,17.9768,42.9,370.829986572,0.0,81.9996,24.03,0.0,13.9571,0.0,69.0,25.09,0.0,1.7,0,57.81
2024-01-22 00:10:00,0.0,0.0,9.2,0.0,8.24399,26.7185,0.0,0,0.0,11.0414,84.57,109.549,32.149,77.4202,0.0,0.0,17.8911,46.0,401.470001221,0.0,37.1052,23.78,0.0,13.9315,0.0,69.0,24.83,0.0,1.7,0,60.16
2024-01-22 00:15:00,0.0,0.0,9.2,0.0,8.30076,28.0247,0.0,0,0.0,11.5907,91.44,109.587,27.7194,77.3778,0.0,0.0,17.8625,48.3,425.350006104,0.0,5.48776,18.79,0.0,13.868,0.0,69.1,25.02,0.0,1.7,0,50.56
2024-01-22 00:20:00,0.0,0.0,9.2,0.0,8.38224,27.512,0.0,0,0.0,11.3197,75.11,109.191,29.2319,77.2188,0.0,0.0,17.9482,51.1,404.190002441,0.0,15.0983,28.13,0.0,13.9315,0.0,69.2,24.95,0.0,1.5,0,52.76
2024-01-22 00:25:00,0.0,0.0,9.2,0.0,8.30076,29.9168,0.0,0,0.0,11.9277,78.86,110.772,29.5634,77.8592,0.0,0.0,17.8911,50.5,401.470001221,0.0,28.4338,29.47,0.0,13.9754,0.0,69.1,25.1,0.0,2.3,0,58.09
2024-01-22 00:30:00,0.0,0.0,9.2,0.0,8.30533,22.9953,0.0,0,0.0,11.2978,67.74,108.684,29.1883,76.9992,0.0,0.0,17.8911,50.2,418.769989014,0.0,5.40528,27.39,0.0,14.0841,0.0,69.2,24.98,0.0,1.4,0,63.63
2024-01-22 00:35:00,0.0,0.0,9.3,0.0,8.28153,25.3147,0.0,0,0.0,11.4589,61.41,109.918,29.2864,77.3505,0.0,0.0,17.8911,46.6,373.119995117,0.0,69.3182,23.07,0.0,13.8106,0.0,68.8,24.98,0.0,2.0,0,66.37
2024-01-22 00:40:00,0.0,0.0,9.2,0.0,8.29618,25.3513,0.0,0,0.0,12.6088,68.5,110.137,29.7113,77.9476,0.0,0.0,18.2055,41.4,401.470001221,0.0,26.0846,28.5,0.0,14.1537,0.0,69.0,25.1,0.0,2.2,0,65.05
2024-01-22 00:45:00,0.0,0.0,9.2,0.0,8.34379,24.9729,0.0,0,0.0,12.4404,72.62,111.429,29.8389,78.4427,0.0,0.0,18.0054,37.3,404.200012207,0.0,42.649,29.7,0.0,14.045,0.0,69.1,25.1,0.0,2.6,0,58.81
2024-01-22 00:50:00,0.0,0.0,9.2,0.0,8.28702,24.6189,0.0,0,0.0,11.2392,84.54,109.555,29.4047,77.4501,0.0,0.0,17.9482,34.8,402.829986572,0.0,53.8521,28.08,0.0,13.9437,0.0,69.0,24.76,0.0,1.8,0,58.42
2024-01-22 00:55:00,0.0,0.0,9.2,0.0,8.23941,25.9312,0.0,0,0.0,11.415,89.49,110.067,29.4903,77.5225,0.0,0.0,17.9197,33.7,443.029998779,0.0,4.74168,28.61,0.0,13.9059,0.0,69.0,25.11,0.0,1.8,0,50.07
2024-01-22 01:00:00,0.0,0.0,9.2,0.0,8.31998,30.2098,0.0,0,0.0,11.8544,85.7,110.5,29.6288,77.9162,0.0,0.0,17.8911,33.3,431.470001221,0.0,14.0551,27.87,0.0,14.1085,0.0,69.0,24.97,0.0,2.0,0,47.29
2024-01-22 01:05:00,0.0,0.0,9.2,0.0,8.38682,30.7897,0.0,0,0.0,11.0195,78.58,109.234,29.2817,77.2652,0.0,0.0,18.0054,35.0,443.940002441,0.0,15.6186,27.38,0.0,13.9754,0.0,69.1,24.99,0.0,1.7,0,51.56
2024-01-22 01:10:00,0.0,0.0,9.2,0.0,8.34836,21.677,0.0,0,0.0,11.7006,72.29,110.863,29.6241,78.2497,0.0,0.0,17.8911,38.8,442.040008545,0.0,13.1855,29.37,0.0,14.0011,0.0,69.1,25.06,0.0,2.1,0,49.22
2024-01-22 01:15:00,0.0,0.0,9.2,0.0,8.30533,17.9416,0.0,0,0.0,11.6494,71.02,109.795,29.3455,77.3772,0.0,0.0,18.1769,36.6,442.059997559,0.0,28.1053,27.63,0.0,13.9498,0.0,69.0,24.93,0.0,1.8,0,51.1
2024-01-22 01:20:00,0.0,0.0,9.2,0.0,8.27695,18.8449,0.0,0,0.0,11.8617,69.04,110.115,29.5121,77.7999,0.0,0.0,18.0911,34.6,447.0,0.0,23.0298,28.88,0.0,14.0584,0.0,69.1,25.11,0.0,2.0,0,48.94
2024-01-22 01:25:00,0.0,0.0,9.2,0.0,8.25772,20.145,0.0,0,0.0,11.7153,65.14,110.521,29.5743,77.9622,0.0,0.0,17.9482,34.1,447.0,0.0,29.7559,28.5,0.0,13.8619,0.0,69.0,25.04,0.0,1.9,0,38.99
2024-01-22 01:30:00,0.0,0.0,9.2,0.0,8.25315,24.3015,0.0,0,0.0,10.331,65.04,109.127,29.0202,76.9206,0.0,0.0,17.8339,33.8,447.0,0.0,46.217,27.29,0.0,13.8424,0.0,69.0,25.08,0.0,1.0,0,35.77
2024-01-22 01:35:00,0.0,0.0,9.2,0.0,8.32456,25.5528,0.0,0,0.0,10.7118,53.98,109.507,29.0918,77.0815,0.0,0.0,18.2055,36.8,441.700012207,0.0,52.2339,27.26,0.0,13.785,0.0,69.0,24.76,0.0,1.4,0,37.09
2024-01-22 01:40:00,0.0,0.0,9.2,0.0,8.32456,28.0735,0.0,0,0.0,11.8471,53.77,110.142,29.3891,77.4938,0.0,0.0,17.8339,38.0,447.0,0.0,54.3756,28.16,0.0,14.0963,0.0,69.1,24.98,0.0,2.2,0,32.72
2024-01-22 01:45:00,0.0,0.0,9.2,0.0,8.35294,30.7714,0.0,0,0.0,11.8105,45.42,109.95,29.4856,77.7337,0.0,0.0,18.1197,44.0,447.0,0.0,56.2362,27.24,0.0,13.9754,0.0,69.1,25.08,0.0,1.8,0,33.97
2024-01-22 01:50:00,0.0,0.0,9.2,0.0,8.28153,29.8314,0.0,0,0.0,11.664,50.81,110.585,29.3704,77.7425,0.0,0.0,17.8911,49.5,447.0,0.0,51.7586,28.06,0.0,14.0584,0.0,69.1,24.91,0.0,1.9,0,37.38
2024-01-22 01:55:00,0.0,0.0,9.2,0.0,8.21012,32.2362,0.0,0,0.0,11.913,63.18,110.665,29.6132,77.8724,0.0,0.0,17.8625,53.0,447.0,0.0,32.7511,28.02,0.0,14.0011,0.0,69.0,25.21,0.0,2.1,0,37.72
2024-01-22 02:00:00,0.0,0.0,9.2,0.0,8.28153,27.335,0.0,0,0.0,12.6748,82.55,110.756,29.7424,78.1774,0.0,1.02,17.8339,54.4,447.0,0.0,8.39776,28.28,0.0,13.9754,0.0,69.1,24.96,0.0,2.3,0,33.42
2024-01-22 02:05:00,0.0,0.0,9.2,0.0,8.22019,24.5762,0.0,0,0.0,11.2831,80.02,109.896,29.414,63.7704,0.0,77.95,17.9482,55.2,396.369995117,0.0,5.08672,18.31,0.0,13.9181,0.0,68.9,24.93,0.0,1.6,0,25.65
2024-01-22 02:10:00,0.0,0.0,9.2,0.0,8.19638,29.7826,0.0,0,0.0,11.371,81.97,109.982,29.3113,64.0564,0.0,77.6,18.1197,52.9,419.989990234,0.0,5.286,18.93,0.0,13.8741,0.0,69.1,25.06,0.0,2.1,0,28.96
2024-01-22 02:15:00,0.0,0.0,9.2,0.0,8.22934,29.1356,0.0,0,0.0,11.6494,88.53,109.864,29.3346,63.827,0.0,77.74,17.9482,52.7,412.380004883,0.0,5.41528,19.02,0.0,13.9632,0.0,69.0,25.02,0.0,1.8,0,29.43
2024-01-22 02:20:00,0.0,0.0,9.2,0.0,8.26322,29.5689,0.0,0,0.0,12.1474,67.47,110.441,29.3798,63.7269,0.0,78.07,18.0054,54.2,400.859985352,0.0,5.4192,20.75,0.0,14.211,0.0,69.2,25.08,0.0,2.1,0,24.59
2024-01-22 02:25:00,0.0,0.0,9.2,0.0,8.49119,34.5251,0.0,0,0.0,17.648,0.0,100.571,31.4934,68.3072,0.0,80.79,17.9482,57.4,447.0,0.0,9.15416,31.26,0.0,14.5089,0.0,69.0,25.08,0.0,5.3,0,25.32
2024-01-22 02:30:00,0.0,0.0,9.2,0.0,8.18631,36.8505,0.0,0,0.0,14.8135,0.0,114.602,30.8537,65.8338,0.0,79.77,18.034,53.4,447.0,0.0,9.69016,24.32,0.0,14.2367,0.0,69.1,24.85,0.0,3.8,0,26.19
2024-01-22 02:35:00,0.0,0.0,9.2,0.0,3.29091,37.8759,0.0,0,0.0,11.5029,0.0,110.174,29.5323,56.995,0.0,77.85,17.9482,59.2,447.0,0.0,70.4432,18.82,0.0,9.19997,0.0,69.1,25.04,0.0,1.8,0,33.8
2024-01-22 02:40:00,0.0,0.0,9.2,0.0,3.24788,33.7011,0.0,0,0.0,12.455,0.0,111.408,29.6288,57.1865,0.0,78.28,18.034,57.0,447.0,0.0,63.2842,21.21,0.0,8.95338,0.0,69.1,25.29,0.0,2.5,0,33.42
2024-01-22 02:45:00,0.0,0.0,9.2,0.0,3.20485,29.9596,0.0,0,0.0,12.5502,0.0,111.039,29.7362,57.2084,0.0,78.46,18.0054,63.0,447.0,0.0,60.1861,19.55,0.0,8.93385,0.0,69.3,24.76,0.0,2.2,0,34.68
2024-01-22 02:50:00,0.0,0.0,9.3,0.0,3.28176,33.2677,0.0,0,0.0,11.1074,0.0,108.994,29.0218,56.4621,0.0,77.25,17.9482,57.4,447.0,0.0,49.5715,19.08,0.0,8.87037,0.0,69.0,25.07,0.0,1.1,0,38.76
2024-01-22 02:55:00,0.0,0.0,9.2,0.0,3.2195,35.0317,0.0,0,0.0,11.7446,0.0,109.987,29.5012,56.6623,0.0,78.15,18.1197,55.8,447.0,0.0,13.9176,18.92,0.0,8.87037,0.0,69.2,24.98,0.0,2.0,0,39.63
2024-01-22 03:00:00,0.0,0.0,9.2,0.0,3.38613,39.8718,0.0,0,0.0,11.7372,0.0,109.683,29.3642,56.6947,0.0,77.91,18.0626,56.8,447.0,0.0,21.4777,18.82,0.0,8.9778,0.0,69.1,25.04,0.0,1.8,0,46.18
2024-01-22 03:05:00,0.0,0.0,9.2,0.0,3.31929,43.0091,0.0,0,0.0,11.3271,0.0,108.994,27.6506,56.1545,0.0,77.44,18.0911,55.9,447.0,0.0,19.5524,19.5,0.0,8.93996,0.0,69.1,29.15,0.0,1.6,0,56.59
2024-01-22 03:10:00,0.0,0.0,9.2,0.0,3.11421,45.0965,0.0,0,0.0,11.6127,0.0,102.713,29.5183,57.2223,0.0,77.98,17.8625,51.7,447.0,0.0,4.886,23.12,0.0,8.82643,0.0,69.3,39.67,0.0,2.3,0,57.26
2024-01-22 03:15:00,0.0,0.0,9.2,0.0,3.28176,42.1485,0.0,0,0.0,11.9496,0.0,95.0224,29.4949,56.7185,0.0,78.04,18.1197,55.0,447.0,0.0,5.39064,21.77,0.0,8.76905,0.0,69.0,39.95,0.0,2.0,0,58.25
2024-01-22 03:20:00,0.0,0.0,9.2,0.0,3.32937,32.9748,0.0,0,0.0,12.3305,0.0,102.334,29.6039,57.3864,0.0,78.19,17.9482,51.1,447.0,0.0,5.36064,22.39,0.0,8.83253,0.0,69.1,39.92,0.0,2.2,0,60.68
2024-01-22 03:25:00,0.0,0.0,9.2,0.0,3.23873,28.6412,0.0,0,0.0,11.5102,0.0,107.044,29.2833,56.5372,0.0,77.54,18.034,47.0,447.0,0.0,25.9961,19.17,0.0,9.02296,0.0,69.1,39.93,0.0,1.9,0,63.1
2024-01-22 03:30:00,0.0,0.0,9.3,0.0,3.21492,25.51,0.0,0,0.0,13.0337,0.0,112.07,29.9058,57.6705,0.0,78.64,18.0911,47.3,447.0,0.0,12.8477,20.18,0.0,8.74342,0.0,69.0,40.05,0.0,2.6,0,61.68
2024-01-22 03:35:00,0.0,0.0,9.2,0.0,3.15724,24.1062,0.0,0,0.0,10.9389,0.0,109.736,29.4576,56.5174,0.0,77.51,18.0626,52.3,447.0,0.0,29.9413,18.93,0.0,9.0486,0.0,69.1,39.88,0.0,1.6,0,67.56
2024-01-22 03:40:00,0.0,0.0,9.2,0.0,3.27169,22.7573,0.0,0,0.0,11.5688,0.0,110.067,29.2848,56.6263,0.0,77.6,18.034,61.1,447.0,0.0,35.281,19.02,0.0,9.11818,0.0,69.2,39.84,0.0,1.9,0,68.48
2024-01-22 03:45:00,0.0,0.0,9.2,0.0,3.25795,20.8225,0.0,0,0.0,12.4843,0.0,110.933,29.6864,57.2182,0.0,78.41,17.9197,63.9,447.0,0.0,29.5559,19.86,0.0,9.16213,0.0,69.2,39.94,0.0,2.4,0,68.41
2024-01-22 03:50:00,0.0,0.0,9.2,0.0,3.33852,20.6455,0.0,0,0.0,11.5468,0.0,109.955,29.4545,56.8006,0.0,77.6,17.8339,74.6,447.0,0.0,18.015,24.08,0.0,9.0547,0.0,69.0,40.09,0.0,1.9,0,71.22
2024-01-22 03:55:00,0.0,0.0,9.2,0.0,3.38613,20.8469,0.0,0,0.0,11.7372,0.0,109.854,29.3642,56.5427,0.0,77.78,18.1197,79.2,447.0,0.0,13.3187,26.49,0.0,8.97169,0.0,69.0,40.16,0.0,1.9,0,64.97
2024-01-22 04:00:00,0.0,0.0,9.3,0.0,3.27169,23.6301,0.0,0,0.0,11.4443,0.0,110.238,29.3471,56.6822,0.0,77.55,18.1483,75.7,447.0,0.0,18.3403,24.34,0.0,9.00954,0.0,69.1,40.03,0.0,1.9,0,58.86
2024-01-22 04:05:00,0.0,0.0,9.2,0.0,5.67681,25.2354,0.0,0,0.0,13.2168,0.0,111.178,29.7829,57.1837,0.0,0.0,18.1197,73.1,447.0,0.0,94.9553,30.58,0.0,9.24514,0.0,69.1,40.23,0.0,2.5,0,61.33
2024-01-22 04:10:00,0.0,0.0,9.2,0.0,5.7052,28.9403,0.0,0,0.0,14.9014,0.0,112.866,30.1642,58.0359,0.0,0.0,17.9482,67.8,447.0,0.0,98.7359,34.11,0.0,9.03517,0.0,69.2,40.0,0.0,4.2,0,57.62
2024-01-22 04:15:00,0.0,0.0,9.2,0.0,5.79583,28.7083,0.0,0,0.0,11.2026,0.0,109.512,29.428,56.4356,0.0,0.0,18.0054,64.8,447.0,0.0,113.38,26.97,0.0,9.28298,0.0,69.0,39.92,0.0,2.0,0,60.52
2024-01-22 04:20:00,0.0,0.0,9.2,0.0,5.73907,30.4478,0.0,0,0.0,12.6308,0.0,111.985,29.8965,57.3758,0.0,0.0,18.0054,62.9,447.0,0.0,113.14,25.07,0.0,9.43557,0.0,69.0,40.01,0.0,2.5,0,53.06
2024-01-22 04:25:00,0.0,0.0,9.2,0.0,5.80499,27.2374,0.0,0,0.0,11.7446,0.0,110.222,29.6724,56.7862,0.0,0.0,17.8911,63.8,447.0,0.0,113.385,31.03,0.0,9.07301,0.0,69.1,40.14,0.0,2.3,0,53.71
2024-01-22 04:30:00,0.0,0.0,9.2,0.0,5.78668,25.0584,0.0,0,0.0,11.9277,0.0,110.27,29.5837,56.9072,0.0,0.0,18.034,64.3,447.0,0.0,113.316,39.94,0.0,9.48684,0.0,69.1,39.92,0.0,7.1,0,51.79
2024-01-22 04:35:00,0.0,0.0,9.2,0.0,5.76288,19.2111,0.0,0,0.0,12.477,0.0,111.376,29.7875,57.1218,0.0,0.0,18.1483,61.2,447.0,0.0,113.379,45.15,0.0,9.19997,0.0,69.3,40.12,0.0,10.0,0,54.28
2024-01-22 04:40:00,0.0,0.0,9.2,0.0,5.80499,21.0666,0.0,0,0.0,11.2026,0.0,109.325,29.1914,56.4903,0.0,0.0,17.9197,58.5,447.0,0.0,113.136,64.81,0.0,9.23171,0.0,69.0,39.83,0.0,2.1,0,57.3
2024-01-22 04:45:00,0.0,0.0,9.2,0.0,5.89563,22.8367,0.0,0,0.0,12.1913,0.0,110.804,29.5697,57.0178,0.0,0.0,18.1483,58.9,447.0,0.0,113.295,69.72,0.0,9.28908,0.0,69.0,39.98,0.0,3.4,0,54.39
2024-01-22 04:50:00,0.0,0.0,9.2,0.0,5.81048,23.0137,0.0,0,0.0,12.2719,0.0,111.061,29.6817,57.2843,0.0,0.0,17.9768,60.5,447.0,0.0,113.06,71.22,0.0,9.40383,0.0,69.1,40.08,0.0,3.4,0,47.69
