SETTLEMENTDATE,B2PS,BARCALDN,BARCSF,BARRON,BLUEGSF,BRAEMARA,CALLIDE,CALLIDEC,CHILDSF,CLARESF,CLERMSF,COLUMSF,COOPGWF,CPSA,CSPVPS,DAYDSF,DDPS1,DDSF,DG_QLD1,EMERASF,G/STONE,GANGARR,GERMCRK,HAMISF,HAUGHT11,HAYMSF,HUGSF,KAREEYA,KEPBG,KEPSF,KEPWF,KOGANCK,KS,LILYSF,LRSF,MARYRSF,MBAHNTH,MEWF,MIDDLSF,MILLMERN,MSTUART,NETIC,OAKEY,OAKEYSF,PIONEER,ROMA,RPCG,RRSF,RUGBYR1,SMCSF,SRSF,STANWELL,SWANBANK,TARONG,TARONGN,WANDB1,WARWSF,WDGPH,WHITSF,WIVENHOE,WOOLGSF,YABULU,YARANSF,YARWUN,KABANWF,MOUSF,NEV,EDENVSF,WANDSF,DULAWF
2023-07-10 00:00:00,124.78,0.0,0.1,30.8,0.0,0.0,641.0,0.0,0.0,0.0,0.0,0.0,339.29,0.0,0.0,0.0,0.0,0.0,0,0.0,439.932,0.0,14.7,0.0,0.0,0.0,-0.176,4.69,0.0,0.0,27.2,767.005,0.0,0.0,0.022,0.0,36.1125,138.568,0.0,846.037,0.0,0.0,0.0,0.0,-0.8,0.94745,-0.3,0.0,0.0,0.0,0.0,619.715,0.2175,1218.8,441.25,0.0,0.0,0.0,0.0,239.15,0.0,0.0,0.0,117.89,119.642,0.07473,,0.0,0.0,37.3
2023-07-10 00:05:00,124.306,0.0,0.1,30.8,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,339.69,0.0,0.0,0.0,0.0,0.0,0,0.0,439.857,0.0,14.7,0.0,0.0,0.0,-0.176,4.455,0.0,0.0,27.17,767.005,0.0,0.0,0.022,0.0,36.0563,144.327,0.0,840.711,0.0,0.0,0.0,0.0,-0.8,0.94745,-0.3,0.0,0.0,0.0,0.0,617.946,0.2175,1229.5,441.25,0.0,0.0,0.0,0.0,160.24,0.0,0.0,0.0,117.53,108.706,0.07473,,0.0,0.0,39.6
2023-07-10 00:10:00,125.736,0.0,0.1,30.8,0.0,0.0,645.0,0.0,0.0,0.0,0.0,0.0,336.14,0.0,0.0,0.0,0.0,0.0,0,0.0,439.823,0.0,15.1,0.0,0.0,0.0,-0.176,4.7925,0.0,0.0,25.22,765.914,0.0,0.0,0.022,0.0,36.0188,144.884,0.0,841.474,0.0,0.0,0.0,0.0,-0.8,0.94745,-0.3,0.0,0.0,0.0,0.0,626.867,0.2175,1171.5,442.375,0.32152,0.0,0.0,0.0,161.53,0.0,0.0,0.0,116.93,108.907,0.07473,,0.0,0.0,41.8
2023-07-10 00:15:00,124.246,0.0,0.1,30.8,0.0,0.0,640.6,0.0,0.0,0.0,0.0,0.0,344.99,0.0,0.0,0.0,0.0,0.0,0,0.0,439.768,0.0,15.0,0.0,0.0,0.0,-0.176,4.2325,0.0,0.0,25.21,769.657,0.0,0.0,0.022,0.0,36.0,147.816,0.0,838.911,0.0,0.0,0.0,0.0,-0.9,0.94745,-0.3,0.0,0.0,0.0,0.0,615.062,0.2175,1224.3,441.25,0.0,0.0,0.0,0.0,159.65,0.0,0.0,0.0,117.84,122.175,0.07473,,0.0,0.0,42.8
2023-07-10 00:20:00,123.219,0.0,0.1,30.8,0.0,0.0,631.9,0.0,0.0,0.0,0.0,0.0,343.0,0.0,0.0,0.0,0.0,0.0,0,0.0,439.966,0.0,15.0,0.0,0.0,0.0,-0.176,4.4175,0.0,0.0,25.21,762.608,0.0,0.0,0.022,0.0,36.1125,145.965,0.0,834.714,0.0,0.0,0.0,0.0,-0.9,0.94745,-0.3,0.0,0.0,0.0,0.0,610.089,0.2175,1165.3,435.25,0.0,0.0,0.0,0.0,157.38,0.0,0.0,0.0,117.38,117.789,0.07473,,0.0,0.0,39.7
2023-07-10 00:25:00,124.306,0.0,0.1,30.8,0.0,0.0,637.8,0.0,0.0,0.0,0.0,0.0,336.2,0.0,0.0,0.0,0.0,0.0,0,0.0,439.898,0.0,14.7,0.0,0.0,0.0,-0.176,4.5575,0.0,0.0,25.2,768.986,0.0,0.0,0.022,0.0,36.0563,146.711,0.0,834.028,0.0,0.0,0.0,0.0,-0.7,0.94745,-0.3,0.0,0.0,0.0,0.0,622.727,0.2175,1136.6,439.0,0.0,0.0,0.0,0.0,159.9,0.0,0.0,0.0,117.78,120.6,0.07473,,0.0,0.0,43.7
2023-07-10 00:30:00,124.87,0.0,0.1,30.8,0.0,0.0,639.8,0.0,0.0,0.0,0.0,0.0,345.5,0.0,0.0,0.0,0.0,0.0,0,0.0,439.837,0.0,14.9,0.0,0.0,0.0,-0.176,4.6175,0.0,0.0,25.2,764.152,0.0,0.0,0.022,0.0,36.0938,147.939,0.0,830.472,0.0,0.0,0.0,0.0,-0.9,0.94745,-0.3,0.0,0.0,0.0,0.0,619.215,0.2175,1141.2,442.0,0.0,0.0,0.0,0.0,160.97,0.0,0.0,0.0,117.38,109.858,0.07473,,0.0,0.0,44.5
2023-07-10 00:35:00,125.827,0.0,0.1,30.8,0.0,0.0,645.7,0.0,0.0,0.0,0.0,0.0,333.3,0.0,0.0,0.0,0.0,0.0,0,0.0,439.522,0.0,14.7,0.0,0.0,0.0,-0.176,4.725,0.0,0.0,25.17,768.113,0.0,0.0,0.022,0.0,36.075,144.982,0.0,827.069,0.0,0.0,0.0,0.0,-0.7,0.94745,-0.3,0.0,0.0,0.0,0.0,631.289,0.2175,1150.5,443.125,0.0,0.0,0.0,0.0,162.4,0.0,0.0,0.0,117.13,108.994,0.07473,,0.0,0.0,40.9
2023-07-10 00:40:00,124.065,0.0,0.1,30.8,0.0,0.0,640.3,0.0,0.0,0.0,0.0,0.0,334.49,0.0,0.0,0.0,0.0,0.0,0,0.0,439.604,0.0,14.6,0.0,0.0,0.0,-0.176,4.305,0.0,0.0,25.19,771.638,0.0,0.0,0.022,0.0,36.0375,143.442,0.0,822.675,0.0,0.0,0.0,0.0,-0.9,0.94745,-0.3,0.0,0.0,0.0,0.0,619.382,0.2175,1140.4,440.5,0.0,0.0,0.0,0.0,159.35,0.0,0.0,0.0,117.13,119.065,0.07473,,0.0,0.0,45.8
2023-07-10 00:45:00,124.478,0.0,0.1,30.8,0.0,0.0,640.7,0.0,0.0,0.0,0.0,0.0,333.94,0.0,0.0,0.0,0.0,0.0,0,0.0,439.707,0.0,15.1,0.0,0.0,0.0,-0.176,4.5325,0.0,0.0,25.15,765.26,0.0,0.0,0.022,0.0,36.0938,146.85,0.0,818.31,0.0,0.0,0.0,0.0,-0.7,0.94745,-0.3,0.0,0.0,0.0,0.0,622.471,0.2175,1140.7,440.688,0.0,0.0,0.0,0.0,158.64,0.0,0.0,0.0,117.94,117.577,0.07473,,0.0,0.0,45.9
