SETTLEMENTDATE,ADPBA1,ADPPV,AGLHAL,ANGASTON,BARKIPS,BLUFF,BNGSF,BOWWBA,BOWWPV,CANUNDA1,CATHROCK,CLEMGPWF,DALNTH,DG_SA1,DRYCGT,HALLWF,HALLWF2,HORNSDAL,HORNSDAL2,HORNSDAL3,HORNSDPR,HVWWBA,HVWWPV,LADBROKE,LBB,LGAPWF,LGAPWF2,LKBONNY1,LKBONNY3,LKBONNY_2,LONSDALE,MAPS2PV,MAPS3PV,MBPS2PV,MINTARO,MTMILLAR,MWPSPV,NBHWF,NETIC,NPPPPS,OSBORNE,PAREPW,PORTLCN,QUARANTN,SNAPPER1,SNOWNTH,SNOWSTH,SNOWTOWN,SNUG,STANVAC,STARFHILL,TBSF,TORRIS,WATERLWF,WGWF,WPWF
2022-07-03 00:00:00,0.143,0.0,0.0,-0.4,178.61,20.5,0.0,0.0,0.0,5.00584,0.0,15.4875,0.0,0,0,56.83,45.77,49.7,36.9,38.3,0.0,0.0,0.0,0.03,0.45,96.34,65.24,5.7158,5.19145,11.3198,0.0,0.0,0,0.0,0.08545,9.6,0.0,68.5,251.449996948,246.702,154.19,0,0.0,28.9,0.0,38.9,14.8,26.309,0,0,2.29933,0.0,138,53.2,66.7,4.0
2022-07-03 00:05:00,0.169,0.0,0.0,-0.4,183.49,21.7,0.0,0.001,0.0,3.40397,0.0,15.6316,0.0,0,0,56.77,46.49,49.2,36.4,38.3,15.7,0.0,0.0,0.03,5.1,94.49,60.06,5.53719,6.08461,10.047,0.0,0.0,0,0.0,0.08545,9.1,0.0,71.0,177.36000061,248.716,168.71,0,0.0,29.0,0.0,36.9,13.7,25.8566,0,0,1.79948,0.0,149,53.9,64.2,4.32
2022-07-03 00:10:00,0.566,0.0,0.0,-0.3,179.26,18.5,0.0,0.001,0.0,3.0035,0.0,16.0638,0.0,0,0,57.15,48.19,47.9,36.2,39.5,3.5,0.0,0.0,0.03,0.0,89.78,62.91,4.82271,3.46097,12.8046,0.0,0.0,0,0.0,0.08545,9.6,0.0,66.3,175.770004272,248.045,193.06,0,0.0,29.0,0.0,34.7,16.4,27.3334,0,0,2.59924,0.0,177,48.5,73.1,1.28
2022-07-03 00:15:00,0.324,0.0,0.0,0.0,176.68,21.1,0.0,0.001,0.0,3.90455,0.4,13.4705,0.0,0,0,59.62,47.46,50.0,35.1,33.5,3.0,0.0,0.0,0.03,1.65,92.5,57.96,4.10823,2.84693,15.1212,0.0,0.0,0,0.0,0.08545,9.1,0.0,66.2,211.309997559,248.045,192.59,0,0.0,28.9,0.0,36.0,17.8,25.2839,0,0,2.99913,0.0,147,48.1,70.2,1.3
2022-07-03 00:20:00,1.188,0.0,0.0,0.0,180.22,18.6,0.0,0.001,0.0,5.50642,0.2,14.0468,0.0,0,0,57.01,48.94,48.2,33.3,35.9,0.0,0.0,0.0,0.03,3.15,92.93,56.93,4.01892,3.74008,17.0524,0.0,0.0,0,0.0,0.08545,9.1,0.0,72.8,216.800003052,248.045,193.0,0,0.0,29.0,0.0,35.7,18.0,24.3392,0,0,2.79918,0.0,144,45.4,74.6,1.7
2022-07-03 00:25:00,0.005,0.0,0.0,0.0,164.11,22.7,0.0,0.001,0.0,4.60537,1.1,14.1189,0.0,0,0,56.51,49.16,53.8,34.6,38.9,10.9,0.0,0.0,0.03,3.6,96.09,61.46,4.28685,3.90755,13.7368,0.0,0.0,0,0.0,0.08545,8.1,0.0,72.6,208.350006104,248.045,192.74,0,0.0,29.0,0.0,32.5,22.8,24.2368,0,0,2.3993,0.0,143,49.6,77.9,1.95
2022-07-03 00:30:00,0.0,0.0,0.0,0.0,101.75,25.7,0.0,0.001,0.0,3.70432,0.7,16.2079,0.0,0,0,58.12,45.05,52.7,40.4,37.4,0.0,0.0,0.0,0.03,0.0,94.3,62.66,4.82271,3.62844,12.8995,0.0,0.0,0,0.0,0.08545,8.1,0.0,73.5,255.580001831,246.702,192.73,0,0.0,28.8,0.0,29.9,28.1,25.1631,0,0,2.59924,0.0,135,52.7,73.3,1.65
2022-07-03 00:35:00,0.0,0.0,0.0,0.0,93.48,27.3,0.0,0.001,0.0,2.90339,1.3,17.4325,0.0,0,0,66.07,45.5,56.8,40.2,38.6,0.6,0.0,0.0,0.03,0.0,98.96,60.98,4.46547,1.78631,11.5767,0.0,0.0,0,0.0,0.08545,6.7,0.0,74.1,232.009994507,246.702,193.06,0,0.0,28.8,0.0,29.9,29.0,26.5061,0,0,2.59924,0.0,137,55.6,79.3,4.62
2022-07-03 00:40:00,0.0,0.0,0.0,0.0,95.51,29.0,0.0,0.001,0.0,4.10479,0.7,14.9113,0.0,0,0,67.17,47.39,55.4,35.8,38.1,0.0,0.0,0.0,0.03,0.0,102.02,59.95,3.92962,1.22809,11.6103,0.0,0.0,0,0.0,0.08545,7.2,0.0,73.2,219.380004883,246.702,192.96,0,0.0,28.9,0.0,30.0,26.6,28.03,0,0,3.0991,0.0,130,58.9,76.3,6.63
2022-07-03 00:45:00,0.868,0.0,0.0,0.0,97.95,27.6,0.0,0.001,0.0,4.60537,1.4,15.9918,0.0,0,0,68.49,49.6,55.4,37.4,39.4,3.9,0.0,0.0,0.03,1.95,98.79,67.61,3.66169,1.61884,9.74035,0.0,0.0,0,0.0,0.08545,4.8,0.0,73.6,217.169998169,242.005,192.65,0,0.0,29.0,0.0,33.3,31.9,29.5548,0,0,2.09939,0.0,120,52.6,82.2,4.29
