SETTLEMENTDATE,AGLSOM,ARWF,BALB,BANN,BHWF,BRYB1WF,BULBES,BULGANA,CHALLWF,CHYTWF,CLOVER,COHUNSF,CROWLWF,DARTM,DEIBDL,DG_VIC1,DIAPURWF,DUNDWF,EILDON,ELAINWF,GANNB,GANNSF,GLRWNSF,HUMEV,JEERA,JEERB,KARSF,KIAMSF,KIWF,LNGS,LOYYANGA,LOYYB,MACARTH,MCKAY,MLWF,MOORAWF,MORTLK,MRTLSWF,MTGELWF,MTMERCER,MURRAY,MUWAWF,NETIC,NEWPORT,NUMURSF,OAKLAND,PORTWF,RUBICON,SALTCRK,STOCKYD,VBB,VPGS,WAUBRAWF,WEMENSF,WINTSF,WKIEWA,YALLOURN,YAMBUK,YATSF,YENDWF,YSWF,BRYB2WF,HBESS
2023-03-26 00:00:00,0.0,76.6,0.0,0.0,0.0,22.3179,0.0,68.73,19.8,42.27,-0.01,0.0,66.8467,0.0,0.0,0,8.3,85.12,0.0,19.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1631,1132.71,33.1992,0.0,4.785,49.08,0.0,0.0,0.34333,14.8,0.0,284.5,0.0,0.0,0.0,19.1,40.9,0,5.79,183.39,0.0,0.0,108.512,0.0,0.0,0.0,1101.92,2.3,0.0,26.65,3.9,4.59297,0.0
2023-03-26 00:05:00,0.0,83.9,9.14,0.0,0.0,21.9944,3.52,70.34,21.0,41.65,-0.01,0.0,58.6752,0.0,0.0,0,8.3,70.06,0.0,17.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1647,1155.64,29.1993,0.0,4.77,42.54,0.0,0.0,1.09409,16.4,0.0,272.43,0.0,0.0,0.0,20.8,37.5,0,6.12,178.7,5.0,0.0,109.76,0.0,0.0,0.0,1110.26,3.4,0.0,28.19,3.2,3.43328,0.0
2023-03-26 00:10:00,0.0,83.6,3.13,0.0,0.0,19.0707,2.29,67.04,20.4,42.48,-0.01,0.0,54.0692,0.0,0.0,0,8.3,68.91,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.0,1646,1157.14,31.4993,0.0,5.505,37.34,0.0,0.0,2.81533,16.1,0.0,265.82,0.0,0.0,0.0,23.7,35.6,0,7.07,175.46,1.4,0.0,110.811,0.0,0.0,0.0,1105.33,3.6,0.0,27.38,3.4,2.05386,0.0
2023-03-26 00:15:00,0.0,79.1,0.0,0.0,0.0,18.6435,0.22,77.13,19.7,40.75,-0.01,0.0,54.0201,0.0,0.0,0,8.2,76.52,0.0,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,0.0,1640,1155.64,35.4992,0.0,6.555,35.73,0.0,0.0,2.38197,15.3,0.0,274.36,0.0,0.0,0.0,23.0,33.9,0,8.52,167.71,4.9,0.0,109.98,0.0,0.0,0.0,1100.41,3.4,0.0,25.83,3.2,1.85855,0.0
2023-03-26 00:20:00,0.0,68.7,0.0,0.0,0.0,17.4167,1.77,82.04,21.1,39.35,-0.01,0.0,52.4206,0.0,0.0,0,8.0,87.62,0.0,17.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,1641,1154.89,43.999,0.0,6.66,33.32,0.0,0.0,2.18055,13.5,0.0,279.35,0.0,0.0,0.0,23.7,31.1,0,8.86,153.96,7.3,0.0,111.453,0.0,0.0,0.0,1101.19,3.6,0.0,22.44,2.4,1.63272,0.0
2023-03-26 00:25:00,0.0,66.1,0.0,0.0,0.0,11.9905,0.0,76.24,20.5,41.26,-0.01,0.0,51.5297,0.0,0.0,0,7.6,97.29,0.0,15.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7,0.0,1639,1153.38,57.1987,0.0,5.985,36.86,0.0,0.0,0.79348,14.6,0.0,300.08,0.0,0.0,0.0,24.7,35.9,0,8.12,162.82,0.2,0.0,111.02,0.0,0.0,0.0,1103.83,4.3,0.0,23.26,2.2,1.02235,0.0
2023-03-26 00:30:00,0.0,69.3,0.0,0.0,0.0,10.7698,0.0,72.39,19.1,41.23,0.0,0.0,53.8829,0.0,0.0,0,7.2,105.06,0.0,14.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,0.0,1629,1149.25,57.3987,0.0,5.04,36.04,0.0,0.0,1.41606,12.4,0.0,310.43,0.0,0.0,0.0,24.2,36.7,0,9.21,191.43,0.0,0.0,109.564,0.0,0.0,0.0,1102.8,5.0,0.0,25.14,2.0,0.79652,0.0
2023-03-26 00:35:00,0.0,73.2,0.0,0.0,0.0,9.71389,0.17,67.99,20.7,41.74,-0.01,0.0,50.0715,0.0,0.0,0,7.2,111.71,0.0,11.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1646,1154.51,57.9987,0.0,5.49,37.1,0.0,0.0,1.87841,11.3,0.0,314.65,0.0,0.0,0.0,22.5,34.4,0,11.27,213.33,0.1,0.0,110.157,0.0,0.0,0.0,1105.71,4.5,0.0,21.67,1.8,0.0,0.0
2023-03-26 00:40:00,0.0,75.2,0.0,0.0,0.0,7.62036,0.0,69.64,23.0,43.58,0.0,0.0,55.5561,0.0,0.0,0,6.8,122.86,0.0,10.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,0.0,1637,1153.76,60.8986,0.0,5.925,40.03,0.0,0.0,1.2421,10.1,0.0,310.15,0.0,0.0,0.0,22.4,31.3,0,10.28,215.95,0.0,0.0,112.255,0.0,0.0,0.0,1105.34,3.5,0.0,19.4,2.1,0.63172,0.0
2023-03-26 00:45:00,0.0,70.3,0.0,0.0,0.0,7.41283,0.0,75.41,23.2,42.89,0.0,0.0,53.2439,0.0,0.0,0,7.6,130.88,0.0,9.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,0.0,1631,1150.0,60.2986,0.0,7.065,39.19,0.0,0.0,0.0,11.2,0.0,305.09,0.0,0.0,0.0,21.1,34.7,0,11.03,230.35,0.0,0.0,120.938,0.0,0.0,0.0,1100.19,2.2,0.0,16.81,1.8,0.40589,0.0
