SETTLEMENTDATE,AGLSOM,ARWF,BALB,BANN,BHWF,BRYB1WF,BULBES,BULGANA,CHALLWF,CHYTWF,CLOVER,COHUNSF,CROWLWF,DARTM,DEIBDL,DG_VIC1,DIAPURWF,DUNDWF,EILDON,ELAINWF,GANNB,GANNSF,GLRWNSF,HUMEV,JEERA,JEERB,KARSF,KIAMSF,KIWF,LNGS,LOYYANGA,LOYYB,MACARTH,MCKAY,MLWF,MOORAWF,MORTLK,MRTLSWF,MTGELWF,MTMERCER,MURRAY,MUWAWF,NETIC,NEWPORT,NUMURSF,OAKLAND,PORTWF,RUBICON,SALTCRK,STOCKYD,VBB,VPGS,WAUBRAWF,WEMENSF,WINTSF,WKIEWA,YALLOURN,YAMBUK,YATSF,YENDWF,YSWF
2022-08-08 00:00:00,95.475,0.0,0.0,0.0,42.193,0.0,0.0,0.0,0.0,5.12,-0.01,0.0,0.0,0.0,85.56,0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.2,0.0,1677,1162.78,0.0,0.02,0.03,0.0,275.0,0,0.0,0.0,430.7,64.87,0.0,511.125,0.0,0.0,6.0,0,0.0,0.0,14.2,0.0,0.0,0.0,0.09,51.0,1105.41,0.3,0.0,0.0,0.0
2022-08-08 00:05:00,55.125,0.0,0.0,0.0,41.913,0.0,0.0,0.0,0.0,5.03,-0.01,0.0,0.0,0.0,85.98,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.1,0.0,1686,1166.92,0.0,0.02,0.03,0.0,276.0,0,0.0,0.0,414.9,67.77,0.0,510.375,0.0,0.0,4.9,0,0.0,0.0,37.3,0.0,0.0,0.0,0.0,51.1,1106.35,0.5,0.0,0.0,0.0
2022-08-08 00:10:00,14.975,0.0,0.0,0.0,42.467,0.0,0.0,0.0,0.0,4.78,0.0,0.0,0.0,0.0,85.44,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.7,0.0,1685,1164.28,0.0,0.02,0.03,0.0,274.0,0,0.0,0.0,458.1,67.73,0.0,509.625,0.0,0.0,3.7,0,0.0,0.0,29.6,0.0,0.0,0.0,0.0,50.9,1105.82,0.7,0.0,0.0,0.0
2022-08-08 00:15:00,0.0,0.0,0.0,0.0,39.863,0.0,0.0,0.0,0.0,4.95,-0.01,0.0,0.0,0.0,84.66,0,1.7,0.0,0.0,0.0,8e-05,0.0,0.0,0,0.0,0.0,0.0,0.0,8.3,0.0,1677,1162.78,0.0,0.02,0.03,0.0,274.0,0,0.0,0.0,446.3,66.1,0.0,508.875,0.0,0.0,3.3,0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,50.8,1107.26,0.6,0.0,0.0,0.0
2022-08-08 00:20:00,0.0,0.0,0.0,0.0,36.174,0.0,0.0,0.0,0.0,4.22,0.0,0.0,0.0,0.0,85.68,0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.1,0.0,1676,1162.41,0.0,0.02,0.03,0.0,274.0,0,0.0,0.0,411.1,65.08,0.0,512.625,0.0,0.0,3.7,0,0.0,0.0,10.6,0.0,0.0,0.0,0.15,51.0,1104.4,0.7,0.0,0.0,0.0
2022-08-08 00:25:00,0.0,0.0,0.0,0.0,36.707,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,84.9,0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.7,0.0,1667,1159.77,0.0,0.02,0.03,0.0,273.0,0,0.0,0.0,407.0,63.28,0.0,509.625,0.0,0.0,4.0,0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,50.9,1106.03,0.9,0.0,0.0,0.0
2022-08-08 00:30:00,0.0,0.0,0.0,0.0,34.992,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0,0.0,85.8,0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.2,0.0,1683,1165.41,0.0,0.02,0.03,0.0,275.0,0,0.0,0.0,415.3,60.5,0.0,510.0,0.0,0.0,3.4,0,0.0,0.0,8.2,0.0,0.0,0.0,0.0,51.2,1106.19,1.1,0.0,0.0,0.0
2022-08-08 00:35:00,0.0,0.0,0.0,0.0,33.156,0.0,0.0,0.0,0.0,4.59,0.0,0.0,0.0,0.0,85.62,0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.1,0.0,1687,1163.91,0.0,0.02,0.03,0.0,275.0,0,0.0,0.0,376.9,53.63,0.0,511.125,0.0,0.0,3.4,0,0.0,0.0,19.0,0.0,0.0,0.0,0.33,51.1,1105.82,1.0,0.0,0.0,0.0
2022-08-08 00:40:00,0.0,0.0,0.0,0.0,33.63,0.0,0.0,0.0,0.0,4.59,0.0,0.0,0.0,0.0,85.02,0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.8,0.0,1667,1162.41,0.0,0.02,0.135,0.0,272.0,0,0.0,0.0,376.4,59.91,0.0,510.375,0.0,0.0,2.2,0,0.52,0.0,3.8,0.0,0.0,0.0,0.13,50.9,1103.78,0.9,0.0,0.0,0.0
2022-08-08 00:45:00,0.0,0.0,0.0,0.0,32.581,0.0,0.0,0.0,0.0,5.04,0.0,0.0,0.0,0.0,85.02,0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.0,1678,1162.78,0.0,0.02,0.225,0.0,275.0,0,0.0,0.0,375.5,56.89,0.0,510.375,0.0,0.0,1.9,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,50.9,1108.29,1.1,0.0,0.0,0.0
