SETTLEMENTDATE,ADPBA1,ADPPV,AGLHAL,ANGASTON,BARKIPS,BLUFF,BNGSF,BOWWBA,BOWWPV,CANUNDA1,CATHROCK,CLEMGPWF,DALNTH,DG_SA1,DRYCGT,HALLWF,HALLWF2,HORNSDAL,HORNSDAL2,HORNSDAL3,HORNSDPR,HVWWBA,HVWWPV,LADBROKE,LBB,LGAPWF,LGAPWF2,LKBONNY1,LKBONNY3,LKBONNY_2,LONSDALE,MAPS2PV,MAPS3PV,MBPS2PV,MINTARO,MTMILLAR,MWPSPV,NBHWF,NETIC,NPPPPS,OSBORNE,PAREPW,PORTLCN,QUARANTN,SNAPPER1,SNOWNTH,SNOWSTH,SNOWTOWN,SNUG,STANVAC,STARFHILL,TBSF,TORRIS,WATERLWF,WGWF,WPWF,CBWWBA,PAREPS,BOLIVPS
2022-12-12 00:00:00,0.0,0.0,0.0,0.0,0.0,52.2,0.0,0.0,0.0,13.716,48.4,20.53,0.0,0,0.0,79.54,52.11,82.5,79.4,93.1,0.0,0.0,0.0,0.02,0.0,94.34,58.13,27.8645,17.9747,62.3818,0.0,0.0,0,0.0,0.12818,15.3,0.0,110.2,0.0,0.0,0.0,189.44,0.0,72.75,0.0,84.8,80.4,56.4936,0.0,0.0,20.594,0.0,40.0,99.9,109.1,46.03,0.0,0.0,0.0
2022-12-12 00:05:00,0.0,0.0,0.0,0.0,0.0,49.3,0.0,0.0,0.0,23.5275,48.7,24.1317,0.0,0,0.0,81.06,52.95,82.9,84.5,87.0,0.0,0.0,0.0,0.03,0.0,93.75,58.56,34.2948,19.4819,74.3214,0.0,0.0,0,0.0,0.12818,14.8,0.0,110.0,0.0,0.0,0.0,179.59,0.0,72.48,0.0,83.4,78.9,54.1055,0.0,0.0,17.4949,0.0,40.0,106.0,113.5,36.72,0.0,0.0,0.16
2022-12-12 00:10:00,1.331,0.0,0.0,0.0,0.0,50.4,0.0,0.0,0.0,27.0315,46.7,31.4793,0.08392,0,0.0,79.99,53.76,82.4,81.2,87.7,0.0,0.0,0.0,0.03,0.0,98.17,59.24,40.3679,19.8168,79.5462,0.0,0.0,0,0.0,0.12818,16.3,0.0,106.2,0.0,0.0,0.0,180.77,0.0,72.59,0.0,79.0,78.3,50.3735,0.0,0.0,19.4943,0.0,40.0,104.7,110.9,43.72,0.0,0.0,0.16
2022-12-12 00:15:00,0.372,0.0,0.0,-0.1,0.0,52.1,0.0,0.0,0.0,23.127,51.3,39.043,0.0,0,0.0,79.18,53.35,82.5,91.0,90.5,0.6,0.0,0.0,0.03,0.45,94.88,58.67,40.1893,18.812,73.4229,0.0,0.0,0,0.0,0.12818,16.8,0.0,101.7,0.0,0.0,0.0,170.51,0.0,74.86,0.0,85.8,77.2,49.4891,0.0,0.0,18.7945,0.0,40.0,102.4,114.3,42.96,0.0,0.0,0.16
2022-12-12 00:20:00,0.0,0.0,0.0,0.0,0.0,50.1,0.0,0.0,0.0,23.0269,51.7,48.7677,0.0,0,0.0,79.31,53.58,87.1,87.3,97.9,13.2,0.0,0.0,0.03,4.05,95.29,57.8,37.242,20.9891,78.5971,0.0,0.0,0,0.0,0.12818,17.7,0.0,105.4,0.0,0.0,0.0,165.07,0.0,75.87,0.0,71.9,81.9,49.1022,0.0,0.0,21.1938,0.0,42.0,94.6,115.2,48.91,0.0,0.0,0.16
2022-12-12 00:25:00,0.274,0.0,0.0,0.0,0.0,44.9,0.0,0.0,0.0,24.2283,51.8,49.9202,0.0,0,0.0,81.32,53.8,85.7,66.8,92.8,0.0,0.0,0.0,0.02,0.0,95.51,57.36,33.8483,21.7706,79.4789,0.0,0.0,0,0.0,0.12818,17.7,0.0,108.0,0.0,0.0,0.0,164.61,0.0,72.95,0.0,65.1,82.2,47.082,0.0,0.0,21.9936,0.0,40.0,93.9,114.9,77.17,0.0,0.0,0.0
2022-12-12 00:30:00,0.52,0.0,0.0,0.0,0.0,44.8,0.0,0.0,0.0,22.8266,48.0,46.2465,0.0,0,0.0,81.16,53.56,87.4,68.6,86.2,14.1,0.0,0.0,0.03,1.5,93.98,56.5,31.9728,20.4309,78.5191,0.0,0.0,0,0.0,0.12818,19.6,0.0,107.8,0.0,0.0,0.0,159.68,0.0,74.03,0.0,62.4,85.3,47.7994,0.0,0.0,24.1929,0.0,42.0,94.2,113.3,73.82,0.0,0.0,0.0
2022-12-12 00:35:00,0.326,0.0,0.0,0.0,0.0,47.2,0.0,0.0,0.0,23.6276,47.4,39.187,0.0,0,0.0,80.77,53.93,78.8,65.8,75.8,0.8,0.0,0.0,0.03,1.35,94.89,56.66,34.2055,27.6319,80.3716,0.0,0.0,0,0.0,0.12818,24.9,0.0,111.9,0.0,0.0,0.0,135.79,0.0,72.82,0.0,79.4,98.6,62.2852,0.0,0.0,25.0927,0.0,40.0,101.8,106.4,39.97,0.0,0.0,0.16
2022-12-12 00:40:00,1.348,0.0,0.0,0.0,0.0,49.4,0.0,0.0,0.0,26.6311,48.3,37.5302,0.02594,0,0.0,80.95,53.85,79.6,64.3,86.7,0.0,0.0,0.0,0.02,0.0,90.76,49.3,43.8509,26.1806,106.043,0.0,0.0,0,0.0,0.12818,24.4,0.0,116.4,0.0,0.0,0.0,127.78,0.0,72.74,0.0,95.7,106.1,78.0019,0.0,0.0,23.4932,0.0,40.0,96.9,97.3,41.18,0.0,0.0,0.16
2022-12-12 00:45:00,2.184,0.0,0.0,-0.1,0.0,45.3,0.0,0.0,0.0,37.3436,48.5,37.6023,0.0,0,0.0,81.0,54.12,78.8,63.6,88.3,0.0,0.0,0.0,0.03,0.0,91.57,48.59,78.1458,25.3432,123.888,0.0,0.0,0,0.0,0.12818,27.8,0.0,115.6,0.0,0.0,0.0,139.85,0.0,73.2,0.0,129.6,108.5,81.4807,0.0,0.0,13.9959,0.0,40.0,93.6,103.0,49.18,0.0,0.0,0.16
