SETTLEMENTDATE,AGLSOM,ARWF,BALB,BANN,BHWF,BRYB1WF,BULBES,BULGANA,CHALLWF,CHYTWF,CLOVER,COHUNSF,CROWLWF,DARTM,DEIBDL,DG_VIC1,DIAPURWF,DUNDWF,EILDON,ELAINWF,GANNB,GANNSF,GLRWNSF,HUMEV,JEERA,JEERB,KARSF,KIAMSF,KIWF,LNGS,LOYYANGA,LOYYB,MACARTH,MCKAY,MLWF,MOORAWF,MORTLK,MRTLSWF,MTGELWF,MTMERCER,MURRAY,MUWAWF,NETIC,NEWPORT,NUMURSF,OAKLAND,PORTWF,RUBICON,SALTCRK,STOCKYD,VBB,VPGS,WAUBRAWF,WEMENSF,WINTSF,WKIEWA,YALLOURN,YAMBUK,YATSF,YENDWF,YSWF,BRYB2WF,HBESS,PIBESS,GLENSF,HD1WF,GIRGSF,RYANCWF,GPWFEST,RANGEB,WUNUSF,MOKOSF,KERNGSP
2025-03-24 00:00:00,0.0,91.4,,0.0,2.754,5.23384,,101.27,11.4,25.15,-0.01,0.0,22.0815,163.8,0.0,0,5.7,22.21,52.72,6.53,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1643.0,1154.25,6.28052,0.02,0.72,13.3,0.0,0.0,0.0,10.3,300.0,226.34,0.0,0.0,0.0,0.5,13.9,0.0,0.07,103.51,,0.0,88.236,0.0,0.0,0.0,1104.88,4.4,0.0,11.3,1.8,2.26749,,,0.0,9.54,0.0,22.81,8.96,,0.0,0.0,0.0
2025-03-24 00:05:00,0.0,94.4,,0.0,2.978,4.67231,,100.89,11.5,24.26,-0.01,0.0,21.1681,2.9,0.0,0,5.7,21.18,52.76,7.14,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,0.0,1649.0,1154.25,5.17177,0.02,0.615,14.67,0.0,0.0,0.0,9.8,300.0,232.63,0.0,0.0,0.0,0.9,13.2,0.0,0.08,97.96,,0.0,94.195,0.0,0.0,0.0,1106.88,4.9,0.0,12.12,1.8,1.31533,,,0.0,8.6,0.0,24.59,7.57,,0.0,0.0,0.0
2025-03-24 00:10:00,0.0,86.3,,0.0,2.659,3.51873,,100.76,10.7,28.16,-0.01,0.0,19.926,0.1,0.0,0,5.8,18.79,52.76,6.19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.0,1642.0,1152.38,4.08515,0.02,0.615,16.24,0.0,0.0,0.0,9.0,295.3,219.98,0.0,0.0,0.0,0.6,12.6,0.0,0.12,89.84,,0.0,96.392,0.0,0.0,0.0,1110.66,4.7,0.0,11.26,1.6,1.01015,,,0.0,9.08,0.0,24.0,7.85,,0.0,0.0,0.0
2025-03-24 00:15:00,0.0,89.2,,0.0,2.594,2.6154,,100.71,10.7,31.98,-0.01,0.0,18.7883,0.0,0.0,0,5.7,16.88,52.72,6.76,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0.0,1640.0,1152.38,3.68004,0.02,0.405,15.16,0.0,0.0,0.0,7.9,294.8,212.72,0.0,0.0,0.0,0.6,11.3,0.0,0.2,83.23,,0.0,102.252,0.0,0.0,0.0,1108.81,4.8,0.0,12.34,1.9,0.0,,,0.0,8.84,0.0,26.23,4.29,,0.0,0.0,0.0
2025-03-24 00:20:00,0.0,87.5,,0.0,2.547,2.57877,,100.77,11.2,34.21,-0.01,0.0,18.0193,0.0,0.0,0,5.8,15.29,52.8,5.93,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,1634.0,1152.38,2.97788,0.02,0.525,15.22,0.0,0.0,0.0,8.7,294.8,216.4,0.0,0.0,0.0,0.2,10.1,0.0,0.76,81.93,,0.0,114.866,0.0,0.0,0.0,1108.06,5.3,0.0,12.44,1.8,0.0,,,0.0,9.1,0.0,26.23,3.85,,0.0,0.0,0.0
2025-03-24 00:25:00,0.0,88.1,,0.0,2.264,1.49844,,99.92,10.7,38.71,-0.01,0.0,15.8377,0.0,0.0,0,5.3,12.45,52.84,5.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,1634.0,1149.38,2.60314,0.02,0.615,12.15,0.0,0.0,0.0,9.6,294.6,211.36,0.0,0.0,0.0,0.0,9.8,0.0,0.53,77.24,,0.0,113.041,0.0,0.0,0.0,1106.25,4.9,0.0,11.73,1.6,0.0,,,0.0,9.0,0.0,24.39,3.69,,0.0,0.0,0.0
2025-03-24 00:30:00,0.0,99.7,,0.0,2.173,1.01625,,100.71,9.7,42.06,-0.01,0.0,15.746,0.0,0.0,0,5.0,9.02,52.76,4.45,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.0,1651.0,1153.88,2.44489,0.02,0.51,12.12,0.0,0.0,0.0,9.6,254.3,208.34,0.0,0.0,0.0,0.0,10.1,0.0,0.46,70.08,,0.0,107.038,0.0,0.0,0.0,1109.94,4.4,0.0,12.68,1.9,0.0,,,0.0,8.18,0.0,25.52,3.75,,0.0,0.0,0.0
2025-03-24 00:35:00,0.0,101.2,,0.0,2.092,0.80873,,101.09,8.5,41.9,-0.01,0.0,14.9432,0.0,0.0,0,5.1,6.96,52.6,3.71,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,0.0,1653.0,1159.12,2.502,0.02,0.42,12.61,0.0,0.0,0.0,8.2,285.3,208.36,0.0,0.0,0.0,0.0,9.4,0.0,0.55,73.99,,0.0,102.088,0.0,0.0,0.0,1115.53,4.5,0.0,11.36,1.7,0.0,,,0.0,7.34,0.0,24.43,3.59,,0.0,0.0,0.0
2025-03-24 00:40:00,0.0,102.5,,0.0,1.883,0.52796,,100.37,7.7,43.42,-0.01,0.0,12.841,0.0,0.0,0,5.0,3.83,52.64,3.98,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,0.0,1648.0,1157.25,2.93317,0.02,0.315,11.72,0.0,0.0,0.0,5.9,274.6,200.34,0.0,0.0,0.0,0.0,8.2,0.0,0.81,73.18,,0.0,100.529,0.0,0.0,0.0,1104.09,5.0,0.0,10.46,1.8,0.0,,,0.0,7.86,0.0,23.15,2.41,,0.0,0.0,0.0
2025-03-24 00:45:00,0.0,109.5,,0.0,1.182,0.0,,101.14,7.0,39.06,-0.01,0.0,11.5123,0.0,0.0,0,4.9,0.98,52.6,5.03,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,0.0,1653.0,1161.38,2.73064,0.02,0.315,11.01,0.0,0.0,0.0,3.5,282.4,194.07,0.0,0.0,0.0,0.0,7.9,0.0,1.0,73.19,,0.0,99.296,0.0,0.0,0.0,1109.22,4.7,0.0,11.89,1.7,0.0,,,0.0,9.94,0.0,26.69,2.43,,0.0,0.0,0.0
2025-03-24 00:50:00,0.0,108.0,,0.0,1.226,0.0,,103.06,5.7,40.34,-0.01,0.0,11.6803,0.0,0.0,0,4.9,0.0,52.68,6.06,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,0.0,1648.0,1157.25,1.35835,0.02,0.42,12.75,0.0,0.0,0.0,3.4,276.5,197.93,0.0,0.0,0.0,0.0,7.2,0.0,0.99,75.15,,0.0,101.158,0.0,0.0,0.0,1107.88,4.8,0.0,16.13,2.2,0.0,,,0.0,10.8,0.0,22.97,1.06,,0.0,0.0,0.0
2025-03-24 00:55:00,0.0,106.9,,0.0,0.786,0.0,,100.82,6.0,41.17,-0.01,0.0,12.4262,0.0,0.0,0,5.1,0.0,52.64,7.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,0.0,1645.0,1155.38,1.32709,0.02,0.42,11.92,0.0,0.0,0.0,3.8,251.9,196.17,0.0,0.0,0.0,0.0,6.9,0.0,0.67,75.07,,0.0,104.182,0.0,0.0,0.1,1111.19,4.9,0.0,17.08,2.6,0.0,,,0.0,9.0,0.0,23.07,1.28,,0.0,0.0,0.0
2025-03-24 01:00:00,0.0,105.1,,0.0,0.623,0.0,,100.52,6.0,38.83,-0.01,0.0,13.5183,0.0,0.0,0,4.6,0.0,52.72,7.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,0.0,1655.0,1157.62,2.97766,0.02,0.63,11.0,0.0,0.51,0.0,3.9,278.2,181.64,0.0,0.0,0.0,0.0,5.9,0.0,0.95,69.12,,0.0,102.632,0.0,0.0,0.0,1113.97,4.8,0.0,15.35,2.7,0.0,,,0.0,9.68,0.0,23.91,0.0,,0.0,0.0,0.0
2025-03-24 01:05:00,0.0,107.7,,0.0,0.857,1.29091,,100.75,6.7,37.81,-0.01,0.0,15.9734,0.0,0.0,0,5.1,0.4,52.8,7.14,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.0,1645.0,1157.25,4.92982,0.02,0.555,12.34,0.0,0.93,0.0,4.9,237.5,180.69,0.0,0.0,0.0,0.0,5.8,0.0,1.73,62.38,,0.0,100.522,0.0,0.0,0.0,1106.22,0.0,0.0,12.26,2.9,0.0,,,0.0,11.62,0.0,24.15,0.0,,0.0,0.0,0.0
