SETTLEMENTDATE,AGLSOM,ARWF,BALB,BANN,BHWF,BRYB1WF,BULBES,BULGANA,CHALLWF,CHYTWF,CLOVER,COHUNSF,CROWLWF,DARTM,DEIBDL,DG_VIC1,DIAPURWF,DUNDWF,EILDON,ELAINWF,GANNB,GANNSF,GLRWNSF,HUMEV,JEERA,JEERB,KARSF,KIAMSF,KIWF,LNGS,LOYYANGA,LOYYB,MACARTH,MCKAY,MLWF,MOORAWF,MORTLK,MRTLSWF,MTGELWF,MTMERCER,MURRAY,MUWAWF,NETIC,NEWPORT,NUMURSF,OAKLAND,PORTWF,RUBICON,SALTCRK,STOCKYD,VBB,VPGS,WAUBRAWF,WEMENSF,WINTSF,WKIEWA,YALLOURN,YAMBUK,YATSF,YENDWF,YSWF,BRYB2WF,HBESS,PIBESS,GLENSF
2024-02-12 00:00:00,0.0,18.9,0.0,0.0,5.238,5.73434,0.0,69.69,4.1,16.35,11.98,0.0,3.41235,0.0,0.0,0,0.0,0.0,0.04,5.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,10.8,0.0,2207.0,1146.62,0.0,0.02,0.0,0.0,0.0,0.0,0.0,9.8,691.4,223.13,0.0,0.0,0.0,0.0,1.6,0.72,0.0,40.69,16.4,0.0,3.85,0.0,0.0,31.9,972.471,0.0,0.0,7.21,0.0,2.18204,0.0,0.0,0.0
2024-02-12 00:05:00,0.0,18.2,0.0,0.0,4.713,4.83101,0.88,64.72,3.7,17.84,12.13,0.0,3.6809,0.0,0.0,0,0.0,0.0,0.04,4.45,0.03875,0.0,0.0,0.0,0.0,0.1,0.0,0.0,11.2,0.0,2213.0,1153.01,0.0,0.02,0.03,0.0,0.0,0.0,0.0,8.0,688.3,221.0,0.0,0.0,0.0,0.0,0.6,0.72,0.0,40.12,8.0,0.0,2.135,0.0,0.0,28.3,983.037,-0.3,0.0,6.2,0.0,2.40177,2.0,0.126,0.0
2024-02-12 00:10:00,0.0,19.2,0.0,0.0,4.522,3.92767,0.0,60.53,5.8,16.89,11.95,0.0,4.51661,0.0,0.0,0,0.0,0.0,0.04,4.72,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,10.5,0.0,2188.0,1142.86,3.79991,0.02,0.03,0.0,0.0,0.0,0.0,6.5,662.7,203.13,0.0,0.0,0.0,0.0,0.3,0.72,0.0,40.35,15.2,0.0,1.233,0.0,0.0,27.7,968.801,-0.3,0.0,6.16,0.0,2.59098,0.0,1.285,0.0
2024-02-12 00:15:00,0.0,20.4,0.0,0.0,4.515,4.08026,2.31,63.12,4.9,15.76,11.95,0.0,5.10822,0.0,0.0,0,0.0,0.0,0.04,4.23,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,11.1,0.0,2199.0,1146.24,7.49983,0.02,0.54,0.0,0.0,0.0,0.0,6.2,654.5,205.34,0.0,0.0,0.0,0.0,0.6,0.72,0.0,41.4,12.9,0.0,0.0,0.0,0.0,27.9,970.965,-0.3,0.0,5.7,0.0,2.73747,0.0,0.0,0.0
2024-02-12 00:20:00,0.0,19.5,0.0,0.0,4.85,4.19013,4.28,61.07,4.7,14.43,11.97,0.0,4.82637,0.0,0.0,0,0.0,0.0,0.04,3.86,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,12.1,0.0,2206.0,1148.49,8.29981,0.02,1.095,0.0,0.0,0.0,0.0,6.6,641.4,206.75,0.0,0.0,0.0,0.0,0.0,0.72,0.0,42.1,17.0,0.0,0.0,0.0,0.0,28.0,974.289,-0.3,0.0,4.97,0.0,2.63371,0.1,0.033,0.0
2024-02-12 00:25:00,0.0,18.7,0.0,0.0,5.11,4.64179,3.13,53.77,5.3,14.67,11.95,0.0,4.93056,0.0,0.0,0,0.0,0.0,0.04,3.03,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,13.2,0.0,2201.0,1145.86,3.89991,0.02,0.0,0.0,0.0,0.0,0.0,6.8,641.7,200.51,0.0,0.0,0.0,0.0,0.0,0.72,0.0,42.94,16.9,0.0,0.0,0.0,0.0,27.8,972.532,-0.3,0.0,3.64,0.0,2.88396,0.0,0.0,0.0
2024-02-12 00:30:00,0.0,20.0,0.0,0.0,5.03,5.27047,4.39,55.77,4.6,14.71,11.99,0.0,5.2247,0.0,0.0,0,0.0,0.07,0.04,1.31,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,15.1,0.0,2207.0,1148.87,0.0,0.02,0.0,0.0,0.0,0.0,0.0,7.2,637.8,188.43,0.0,0.0,0.0,0.0,0.3,0.72,0.18,45.12,10.1,0.0,0.0,0.0,0.09,27.9,966.543,0.0,0.0,2.37,0.0,3.36004,0.0,0.022,0.0
2024-02-12 00:35:00,0.0,17.8,0.0,0.0,4.878,4.04364,5.03,51.71,4.1,15.18,12.01,0.0,4.71373,0.0,0.0,0,0.0,0.87,0.04,0.76,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,16.2,0.0,2210.0,1148.12,0.0,0.02,0.0,0.0,0.0,0.0,0.0,9.2,593.5,181.21,0.0,0.0,0.0,0.0,0.0,0.72,0.72,47.25,12.7,0.0,0.0,0.0,0.0,27.9,973.318,0.0,0.0,1.7,0.0,3.67742,0.0,0.005,0.0
2024-02-12 00:40:00,0.0,14.8,0.0,0.0,5.081,2.60319,0.05,48.27,4.5,16.0,12.01,0.0,3.90989,0.0,0.0,0,0.0,3.0,0.04,0.75,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,14.2,0.0,2203.0,1149.25,0.0,0.02,1.395,0.0,0.0,0.0,0.0,11.5,603.9,172.18,0.0,0.0,0.0,0.0,0.1,0.72,1.03,45.53,9.2,0.0,0.0,0.0,0.0,27.9,970.118,0.0,0.0,1.82,0.0,3.85443,0.0,0.0,0.0
2024-02-12 00:45:00,0.0,11.7,0.0,0.0,4.2,2.80461,0.0,44.51,4.4,16.13,11.99,0.0,3.45677,0.0,0.0,0,0.0,4.74,0.04,1.45,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,12.6,0.0,2195.0,1144.36,0.0,0.02,1.08,0.0,0.0,0.0,0.0,13.8,588.6,172.81,0.0,0.0,0.0,0.0,0.1,0.72,1.84,42.65,5.8,0.0,0.0,0.0,0.0,27.7,967.266,0.0,0.0,1.76,0.0,3.57366,0.0,0.0,0.0
