SETTLEMENTDATE,ADPBA1,ADPPV,AGLHAL,ANGASTON,BARKIPS,BLUFF,BNGSF,BOWWBA,BOWWPV,CANUNDA1,CATHROCK,CLEMGPWF,DALNTH,DG_SA1,DRYCGT,HALLWF,HALLWF2,HORNSDAL,HORNSDAL2,HORNSDAL3,HORNSDPR,HVWWBA,HVWWPV,LADBROKE,LBB,LGAPWF,LGAPWF2,LKBONNY1,LKBONNY3,LKBONNY_2,LONSDALE,MAPS2PV,MAPS3PV,MBPS2PV,MINTARO,MTMILLAR,MWPSPV,NBHWF,NETIC,NPPPPS,OSBORNE,PAREPW,PORTLCN,QUARANTN,SNAPPER1,SNOWNTH,SNOWSTH,SNOWTOWN,SNUG,STANVAC,STARFHILL,TBSF,TORRIS,WATERLWF,WGWF,WPWF,CBWWBA,PAREPS,BOLIVPS,TB2B,TB2SF,TI
2023-06-11 00:00:00,4.809,0.0,15.6026,-0.1,143.57,0.0,0.0,0.84,0.0,6.00701,9.0,7.77978,0.03204,0,0.34714,1.04,0.64,24.6,21.7,14.9,69.3,1.648,0.0,4.99,8.55,21.13,13.68,9.82404,4.13083,17.3818,0.0,0.0,0.0,0.0,80.5554,12.0,0.0,9.4,520.58001709,351.395,0.0,107.81,0.0,0.0,0.0,3.7,1.5,0.0,0.0,0.0,1.09968,0.0,0.0,1.3,0.2,10.8,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-11 00:05:00,5.965,0.0,15.9917,-0.1,16.65,0.0,0.0,0.143,0.0,7.20841,10.8,8.21199,0.0,0,0.34714,1.07,0.61,26.5,21.8,15.7,80.0,0.331,0.0,0.03,6.3,21.21,13.5,11.4316,4.18666,19.1457,0.0,0.0,0.0,0.0,63.5035,12.9,0.0,10.4,665.309997559,382.937,0.0,112.9,0.0,0.0,0.0,4.4,1.7,0.0,0.0,0.0,0.6998,0.0,0.0,1.0,0.0,12.26,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-11 00:10:00,5.283,0.0,16.1214,-0.1,0.0,0.0,0.0,0.027,0.0,7.60888,10.3,8.6442,0.0,0,0.34714,1.66,1.0,26.4,22.7,17.5,43.9,0.014,0.0,0.02,0.75,19.61,10.99,13.3071,4.24248,21.6185,0.0,0.0,0.0,0.0,37.1801,12.9,0.0,10.6,692.390014648,425.216,0.0,122.63,0.0,0.0,0.0,4.8,2.3,0.0,0.0,0.0,1.09968,0.0,0.0,0.5,0.0,12.34,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-11 00:15:00,1.782,0.0,0.0,-0.1,0.0,0.0,0.0,0.031,0.0,8.71016,10.0,8.42809,0.0,0,0.34714,1.7,1.74,28.3,24.4,18.8,40.7,0.014,0.0,0.04,0.0,20.02,11.83,14.2895,4.74488,23.0027,0.0,0.0,0.0,0.0,30.5148,13.9,0.0,11.0,658.989990234,451.389,0.0,131.12,0.0,0.0,0.0,5.9,1.8,0.0,0.0,0.0,1.49956,0.0,0.0,0.5,0.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-11 00:20:00,0.327,0.0,0.0,-0.1,0.0,0.0,0.0,1.839,0.0,8.61004,9.6,8.71624,0.00153,0,0.34714,1.58,2.63,29.8,26.5,20.3,65.4,3.436,0.0,0.03,0.15,19.89,15.99,15.004,4.2983,24.5657,0.0,0.0,0.0,0.0,30.6003,12.4,0.0,10.7,649.570007324,419.176,0.0,125.77,0.0,0.0,0.0,6.4,2.9,0.35958,0.0,0.0,1.19965,0.0,0.0,0.7,0.0,15.57,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-11 00:25:00,0.174,0.0,0.0,-0.1,0.0,0.0,0.0,0.489,0.0,8.20958,9.0,9.58066,0.0,0,0.34714,1.78,2.52,30.2,27.5,20.6,6.5,1.114,0.0,0.03,0.15,23.06,18.55,15.2719,5.07981,27.4012,0.0,0.0,0.0,0.0,30.3439,12.0,0.0,12.5,743.650024414,382.265,0.0,130.83,0.0,0.0,0.0,8.1,3.5,0.65438,0.0,0.0,1.19965,0.0,0.0,0.6,0.0,14.69,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-11 00:30:00,0.174,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,9.81145,7.7,9.79676,0.0,0,0.34714,2.4,2.33,33.1,28.7,22.5,0.0,0.003,0.0,0.03,0.0,24.91,20.23,14.4681,5.07981,28.7185,0.0,0.0,0.0,0.0,29.7842,11.0,0.0,15.4,746.770019531,356.092,0.0,126.88,0.0,0.0,0.0,8.0,4.7,1.26941,0.0,0.0,1.19965,0.0,0.0,0.6,0.0,14.21,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-11 00:35:00,0.179,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,10.0117,7.0,10.373,0.0,0,0.34714,2.7,2.58,35.8,28.9,22.7,0.9,0.0,0.0,0.03,0.0,26.42,20.64,14.8254,6.02878,30.6555,0.0,0.0,0.0,0.0,29.3997,10.0,0.0,15.1,730.969970703,362.803,0.0,126.65,0.0,0.0,0.0,8.5,6.7,0.95262,0.0,0.0,1.19965,0.0,0.0,1.1,0.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-11 00:40:00,0.737,0.0,0.0,-0.1,0.0,0.0,0.0,1.812,0.0,10.312,7.4,11.1654,0.0,0,0.34714,3.13,2.26,36.4,29.0,23.3,25.8,1.771,0.0,0.02,0.0,27.17,18.4,14.5574,6.08461,32.3189,0.0,0.0,0.0,0.0,28.9297,11.0,0.0,17.2,708.400024414,356.092,0.0,133.38,0.0,0.0,0.0,9.1,8.0,1.61565,0.0,0.0,1.59953,0.0,0.0,1.7,0.4,17.42,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-11 00:45:00,0.272,0.0,0.0,-0.1,0.0,0.0,0.0,0.168,0.0,10.4122,7.6,11.2375,0.0,0,0.34714,4.59,2.14,35.6,28.5,23.3,9.8,0.299,0.0,0.02,0.0,29.66,17.11,16.5222,5.58221,31.197,0.0,0.0,0.0,0.0,28.9297,12.4,0.0,19.9,689.450012207,359.448,0.0,130.7,0.0,0.0,0.0,8.4,8.8,1.47465,0.0,0.0,1.59953,0.0,0.0,2.3,0.0,16.54,0.0,0.0,0.0,0.0,0.0,0.0
