SETTLEMENTDATE,ADPBA1,ADPPV,AGLHAL,ANGASTON,BARKIPS,BLUFF,BNGSF,BOWWBA,BOWWPV,CANUNDA1,CATHROCK,CLEMGPWF,DALNTH,DG_SA1,DRYCGT,HALLWF,HALLWF2,HORNSDAL,HORNSDAL2,HORNSDAL3,HORNSDPR,HVWWBA,HVWWPV,LADBROKE,LBB,LGAPWF,LGAPWF2,LKBONNY1,LKBONNY3,LKBONNY_2,LONSDALE,MAPS2PV,MAPS3PV,MBPS2PV,MINTARO,MTMILLAR,MWPSPV,NBHWF,NETIC,NPPPPS,OSBORNE,PAREPW,PORTLCN,QUARANTN,SNAPPER1,SNOWNTH,SNOWSTH,SNOWTOWN,SNUG,STANVAC,STARFHILL,TBSF,TORRIS,WATERLWF,WGWF,WPWF,CBWWBA,PAREPS,BOLIVPS,TB2B,TB2SF
2023-03-05 00:00:00,0.0,0.0,0.0,-0.1,97.57,0.0,0.0,0.0,0.0,0.0,0.5,3.52972,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.046,0.0,0.02,8.55,9.56,4.64,0.0,0.0,0.0,0.0,0.0,0,0.0,0.08545,0.0,0.0,0.0,606.260009766,460.114,0.0,11.99,0.0,56.4,0.0,0.2,0.0,0.0,0.0,0.0,0.01,0.0,123.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-05 00:05:00,0.0,0.0,0.0,0.0,95.08,0.0,0.0,0.605,0.0,0.0,0.0,4.17803,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.051,0.0,0.03,5.55,10.54,4.98,0.0,0.0,0.0,0.0,0.0,0,0.0,0.08545,0.0,0.0,0.0,603.549987793,464.14,0.0,9.99,0.0,56.5,0.0,0.8,0.0,0.0,0.0,0.0,0.01,0.0,115.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-05 00:10:00,0.0,0.0,0.0,0.0,96.67,0.0,0.0,0.003,0.0,0.0,2.6,4.25006,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.047,0.0,0.03,0.0,9.88,5.28,0.0,0.0,0.0,0.0,0.0,0,0.0,0.08545,0.0,0.0,0.0,640.739990234,463.469,0.0,9.8,0.0,56.4,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,127.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-05 00:15:00,0.0,0.0,0.0,-0.1,93.89,0.0,0.0,0.489,0.0,0.0,5.0,3.81785,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976,0.0,0.03,0.0,9.96,4.84,0.0,0.0,0.0,0.0,0.0,0,0.0,0.08545,0.0,0.0,0.0,643.099975586,429.914,0.0,11.35,0.0,56.9,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,113.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-05 00:20:00,0.0,0.0,0.0,-0.1,96.77,0.0,0.0,0.0,0.0,0.0,10.7,2.73733,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.041,0.0,0.03,0.0,9.99,5.58,0.0,0.0,0.0,0.0,0.0,0,0.0,0.08545,0.0,0.0,0.0,678.539978027,405.754,0.0,11.81,0.0,56.9,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,121.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-05 00:25:00,0.0,0.0,0.0,-0.1,96.09,0.0,0.0,0.0,0.0,0.0,13.8,3.81785,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,8.95,5.39,0.0,0.0,0.0,0.0,0.0,0,0.0,0.08545,0.0,0.0,0.0,633.239990234,435.283,0.0,9.29,0.0,56.9,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,121.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-05 00:30:00,0.0,0.0,0.0,-0.1,97.31,0.0,0.0,0.0,0.0,0.0,17.0,3.52972,0.05035,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,8.51,4.45,0.0,0.0,0.0,0.0,0.0,0,0.0,0.08545,0.0,0.0,0.0,644.890014648,444.007,0.0,6.59,0.0,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,128.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-05 00:35:00,0.0,0.0,0.0,-0.1,95.95,0.0,0.0,0.94,0.0,0.0,24.4,2.8814,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.896,0.0,0.03,5.55,5.8,3.87,0.0,0.0,0.0,0.0,0.0,0,0.0,0.08545,0.0,0.0,0.0,609.940002441,466.153,0.0,6.68,0.0,57.2,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,126.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-05 00:40:00,0.0,0.0,0.0,0.0,95.92,0.0,0.0,0.761,0.0,0.0,25.7,1.94494,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.555,0.0,0.03,4.05,3.83,2.39,0.0,0.0,0.0,0.0,0.0,0,0.0,0.08545,0.0,0.0,0.0,607.090026855,465.482,0.0,10.52,0.0,56.9,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,118.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-05 00:45:00,0.0,0.0,0.0,0.0,95.98,0.0,0.0,0.803,0.0,0.0,26.6,1.08053,0.03204,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.777,0.0,0.03,8.55,3.09,1.49,0.0,0.0,0.0,0.0,0.0,0,0.0,0.08545,0.4,0.0,0.0,594.940002441,464.14,0.0,11.47,0.0,57.3,0.0,0.0,0.0,0.0,0.0,0.0,0.39988,0.0,121.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
