SETTLEMENTDATE,B2PS,BARCALDN,BARCSF,BARRON,BLUEGSF,BRAEMARA,CALLIDE,CALLIDEC,CHILDSF,CLARESF,CLERMSF,COLUMSF,COOPGWF,CPSA,CSPVPS,DAYDSF,DDPS1,DDSF,DG_QLD1,EMERASF,G/STONE,GANGARR,GERMCRK,HAMISF,HAUGHT11,HAYMSF,HUGSF,KAREEYA,KEPBG,KEPSF,KEPWF,KOGANCK,KS,LILYSF,LRSF,MARYRSF,MBAHNTH,MEWF,MIDDLSF,MILLMERN,MSTUART,NETIC,OAKEY,OAKEYSF,PIONEER,ROMA,RPCG,RRSF,RUGBYR1,SMCSF,SRSF,STANWELL,SWANBANK,TARONG,TARONGN,WANDB1,WARWSF,WDGPH,WHITSF,WIVENHOE,WOOLGSF,YABULU,YARANSF,YARWUN,KABANWF,MOUSF,NEV,EDENVSF,WANDSF,DULAWF
2023-06-14 00:00:00,0.37263,0.0,0.0,31.12,0.0,0.0,598.6,0.0,0.0,0.0,0.0,0.0,125.28,0.0,0.0,0.0,0.0,0.0,0,0.0,681.65,0.0,10.4,0.0,0.0,0.0,-0.181,4.7,0.0,0.0,27.18,303.834,0.0,0.0,-0.03,0.0,47.1562,65.0424,0.0,729.15,0.0,309.559997559,0.0,0.0,37.9,0.37898,-0.2,0.0,0.0,0.0,0.0,971.948,210.957,1268.1,223.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.98,76.439,0.66221,,0.0,0.0,9.1
2023-06-14 00:05:00,0.37263,0.0,0.0,31.12,0.0,0.0,605.6,0.0,0.0,0.0,0.0,0.0,125.86,0.0,0.0,0.0,0.0,0.0,0,0.0,680.012,0.0,10.4,0.0,0.0,0.0,-0.181,5.1375,0.0,0.0,27.27,300.863,0.0,0.0,-0.03,0.0,45.2625,65.194,0.0,713.876,0.0,349.829986572,0.0,0.0,34.4,0.37898,-0.2,0.0,0.0,0.0,0.0,944.467,185.836,1272.7,223.75,16.3072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.59,71.473,0.66221,,0.0,0.0,8.9
2023-06-14 00:10:00,0.37263,0.0,0.0,31.12,0.0,0.0,595.9,0.0,0.0,0.0,0.0,0.0,116.54,0.0,0.0,0.0,0.0,0.0,0,0.0,679.883,0.0,10.1,0.0,0.0,0.0,-0.181,4.78,0.01,0.0,25.14,307.141,0.0,0.0,-0.03,0.0,45.0188,62.6708,0.0,684.975,0.0,390.519989014,0.0,0.0,36.4,0.37898,-0.2,0.0,0.0,0.0,0.0,870.969,241.262,1265.8,223.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.24,79.537,0.66221,,0.0,0.0,6.9
2023-06-14 00:15:00,0.37263,0.0,0.0,31.12,0.0,0.0,596.2,0.0,0.0,0.0,0.0,0.0,122.85,0.0,0.0,0.0,0.0,0.0,0,0.0,669.9,0.0,10.2,0.0,0.0,0.0,-0.181,4.845,0.01,0.0,25.14,330.456,0.0,0.0,-0.03,0.0,45.6562,61.524,0.0,662.605,0.0,456.769989014,0.0,0.0,38.7,0.37898,-0.2,0.0,0.0,0.0,0.0,826.992,181.051,1272.1,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.39,82.597,0.66221,,0.0,0.0,5.9
2023-06-14 00:20:00,0.37263,0.0,0.0,31.12,0.0,0.0,610.5,0.0,0.0,0.0,0.0,0.0,116.51,0.0,0.0,0.0,0.0,0.0,0,0.0,652.758,0.0,10.2,0.0,0.0,0.0,-0.181,4.8275,0.01,0.0,25.11,345.411,0.0,0.0,-0.03,0.0,44.3812,62.9842,0.0,635.382,0.0,391.980010986,0.0,0.0,36.3,0.37898,-0.2,0.0,0.0,0.0,0.0,811.751,192.814,1271.6,224.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.38,70.37,0.66221,,0.0,0.0,4.8
2023-06-14 00:25:00,0.37263,0.0,0.0,31.12,0.0,0.0,628.7,0.0,0.0,0.0,0.0,0.0,117.07,0.0,0.0,0.0,0.0,0.0,0,0.0,596.289,0.0,10.3,0.0,0.0,0.0,-0.181,4.8275,0.01,0.0,25.13,365.873,0.0,0.0,-0.03,0.0,46.425,70.8035,0.0,620.809,0.0,410.869995117,0.0,0.0,37.2,0.37898,-0.2,0.0,0.0,0.0,0.0,811.636,180.652,1272.4,224.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.78,68.925,0.66221,,0.0,0.0,4.1
2023-06-14 00:30:00,0.37263,0.0,0.0,31.12,0.0,0.0,639.7,0.0,0.0,0.0,0.0,0.0,107.7,0.0,0.0,0.0,0.0,0.0,0,0.0,580.617,0.0,10.1,0.0,0.0,0.0,-0.181,5.0175,0.01,0.0,25.12,392.393,0.0,0.0,-0.03,0.0,46.2563,71.2131,0.0,613.958,0.0,383.399993896,0.0,0.0,35.9,0.37898,-0.2,0.0,0.0,0.0,0.0,814.187,180.652,1272.5,224.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.08,69.135,0.66221,,0.0,0.0,3.4
2023-06-14 00:35:00,0.37263,0.0,0.0,31.12,0.0,0.0,645.9,0.0,0.0,0.0,0.0,0.0,101.73,0.0,0.0,0.0,0.0,0.0,0,0.0,565.346,0.0,10.3,0.0,0.0,0.0,-0.181,5.0025,0.01,0.0,25.19,408.893,0.0,0.0,-0.03,0.0,43.05,65.5974,0.0,621.267,0.0,305.070007324,0.0,0.0,36.6,0.37898,-0.2,0.0,0.0,0.0,0.0,831.542,180.652,1273.3,224.688,1.07649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.34,70.574,0.66221,,0.0,0.0,3.0
2023-06-14 00:40:00,0.37263,0.0,0.0,31.12,0.0,0.0,636.5,0.0,0.0,0.0,0.0,0.0,98.73,0.0,0.0,0.0,0.0,0.0,0,0.0,556.913,0.0,10.4,0.0,0.0,0.0,-0.181,4.78,0.01,0.0,25.17,423.513,0.0,0.0,-0.03,0.0,47.2125,58.7715,0.0,618.459,0.0,362.940002441,0.0,0.0,38.8,0.37898,-0.2,0.0,0.0,0.0,0.0,809.213,180.652,1271.0,224.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.09,71.819,0.66221,,0.0,0.0,2.3
2023-06-14 00:45:00,0.37263,0.0,0.0,31.12,0.0,0.0,639.2,0.0,0.0,0.0,0.0,0.0,97.35,0.0,0.0,0.0,0.0,0.0,0,0.0,557.647,0.0,10.4,0.0,0.0,0.0,-0.181,4.8025,0.01,0.0,25.23,448.59,0.0,0.0,-0.03,0.0,46.65,57.3624,0.0,621.694,0.0,309.609985352,0.0,0.0,31.8,0.37898,-0.2,0.0,0.0,0.0,0.0,816.827,180.253,1273.3,224.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.78,71.576,0.66221,,0.0,0.0,1.1
