SETTLEMENTDATE,BANGOWF,BAYSW,BERYLSF,BHILLGT,BOCOROCK,BODWF,BOMENSF,BROKENH,CAPTL_WF,COLEASF,COLONGRA,COLWF0,CROOKWF,CRURWF,CRWASF,CULLERIN,DARLSF1,DG_NSW1,ERARING,ERGT01,FINLYSF,GNNDHSF,GOONSF,GRIFSF,GULLRGWF,GULLRSF,GULLRWF,GUNNING,HEZ1,HILLSTN,HUMENSW,JEMALNG,JUNEESF,LIDDELL,LIMOSF1,LIMOSF2,MANSLR,METZSF,MLSP,MOLNGSF,MOREESF,MP,NETIC,NEVERSF,NYNGAN,PARSF,ROYALLA,SAPHWF,SEBSF,SHOALHAV,SITHE,SNOWY1,SNOWY2,SNOWY3,SNOWY6,STWF,SUNRSF,SUNTPSF,TALLAWAR,TARALGA,URANQ,VP,WAGGNSF,WALGRV,WELLSF,WOODLWN,WRSF,WRWF,QBYNB,WSTWYSF,NEWENSF
2023-02-09 00:00:00,153.761,2123.2,0.0,0,4.66,87.742,0.0,0.0,35.1919,0.0,0.0,145.531,42.743,66.8967,0.0,20.84,0.0,0,1613.65,0.0,0.0,0.0,0.0,0.001526,62.5941,0.0,89.5732,31.5582,0.0,0.0,9.74392,0.0,0.0,917.258,0.0,0.0,0.0,0.0,0.024,0.0,0.0,556.698,76.7399978638,0.0,0.0,0.00153,0.0,250.304,0.0,0.0,0.12371,0.0,0.0,30.7,71.0,79.7125,0.0,0.0,0,26.6221,0.0,876.565,0.0,0.0,0.0,20.1053,0.0,146.387,0.0,0.0,0.0
2023-02-09 00:05:00,154.018,2161.7,0.0,0,5.36,90.8316,0.0,0.0,27.9184,0.0,0.0,152.847,46.454,73.499,0.0,23.77,0.0,0,1547.63,0.0,0.0,0.0,0.0,0.001526,66.054,0.0,90.5253,30.8187,0.0,0.0,9.54089,0.0,0.0,907.993,0.0,0.0,0.0,0.0,0.024,0.0,0.0,546.175,65.2399978638,0.0,0.0,0.00153,0.0,250.936,0.0,0.0,0.1639,0.0,0.0,29.8,70.7,77.7679,0.0,0.0,0,31.826,0.0,876.955,0.0,0.0,0.0,21.9071,0.0,142.271,0.0,0.0,0.0
2023-02-09 00:10:00,150.171,2188.56,0.0,0,5.81,89.8499,0.0,0.0,24.8402,0.0,0.0,160.699,51.0036,78.9994,0.0,23.39,0.0,0,1502.68,0.0,0.0,0.0,0.0,0.001526,60.7941,0.0,89.4081,32.2961,0.0,0.0,9.56858,0.0,0.0,920.206,0.0,0.0,0.0,0.0,0.024,0.0,0.0,563.632,0.639999985695,0.0,0.0,0.00153,0.0,255.431,0.0,0.0,0.12371,0.0,0.0,31.3,70.7,75.5706,0.0,0.0,0,39.9487,0.0,877.981,0.0,0.0,0.0,21.8983,0.0,136.8,0.0035,0.0,0.0
2023-02-09 00:15:00,152.809,2204.14,0.0,0,7.44,73.8137,0.0,0.0,22.805,0.0,0.0,150.111,47.0338,86.8982,0.0,23.57,0.0,0,1493.5,0.0,0.0,0.0,0.0,0.001526,51.2842,0.0,89.0018,31.8906,0.0,0.0,9.89158,0.0,0.0,918.284,0.0,0.0,0.0,0.0,0.024,0.0,0.0,558.553,0.0,0.0,0.0,0.00153,0.0,256.42,0.0,0.0,0.12371,0.0,0.0,31.1,70.7,76.856,0.0,0.0,0,53.0336,0.0,874.807,0.0,0.0,0.0,18.1101,0.0,136.895,0.0,0.0,0.0
2023-02-09 00:20:00,156.564,2228.7,0.0,0,7.67,53.5616,0.0,0.0,19.4651,0.0,0.0,136.84,43.3851,92.2969,0.0,23.75,0.0,0,1488.67,0.0,0.0,0.0,0.0,0.001526,47.6743,0.0,85.7581,33.4308,0.0,0.0,9.62703,0.0,0.0,917.606,0.0,0.0,0.0,0.0,0.024,0.0,0.0,560.14,0.0,0.0,0.0,0.00153,0.0,258.288,0.0,0.0,0.15386,0.0,0.0,31.0,71.0,75.7794,0.0,0.0,0,52.0925,0.0,873.44,0.0,0.0,0.0,16.6775,0.0,133.352,0.0,0.0,0.0
2023-02-09 00:25:00,155.416,2235.09,0.0,0,8.21,43.1206,0.0,0.0,19.0081,0.0,0.0,124.977,48.6036,109.599,0.0,22.89,0.0,0,1451.85,0.0,0.0,0.0,0.0,0.001526,46.4443,0.0,81.4988,30.7861,0.0,0.0,9.59934,0.0,0.0,922.752,0.0,0.0,0.0,0.0,0.024,0.0,0.0,560.165,0.0,0.0,0.0,0.00153,0.0,258.682,0.0,0.0,0.15386,0.0,0.0,31.1,70.9,76.7681,0.0,0.0,0,47.6393,0.0,875.954,0.0,0.0,0.0,12.239,0.0,140.888,0.0045,0.0,0.0
2023-02-09 00:30:00,152.962,2220.69,0.0,0,8.47,52.0294,0.0,0.0,21.9535,0.0,0.0,129.277,52.3439,115.396,0.0,23.7,0.0,0,1398.7,0.0,0.0,0.0,0.0,0.001526,48.7143,0.0,74.9098,27.9209,0.0,0.0,9.12868,0.0,0.0,921.561,0.0,0.0,0.0,0.0,0.024,0.0,0.0,561.63,0.0,0.0,0.0,0.00153,0.0,257.217,0.0,0.0,0.15386,0.0,0.0,31.1,70.9,80.976,0.0,0.0,0,38.8647,0.0,874.612,0.0,0.0,0.0,13.2146,0.0,135.404,0.0305,0.0,0.0
2023-02-09 00:35:00,150.702,2318.0,0.0,0,10.6,62.5123,0.0,0.0,21.6917,0.0,0.0,130.779,51.8825,104.099,0.0,23.52,0.0,0,1482.32,0.0,0.0,0.0,0.0,0.001526,46.7043,0.0,66.9244,25.4088,0.0,0.0,9.65779,0.0,0.0,938.389,0.0,0.0,0.0,0.0,0.024,0.0,0.0,585.336,0.0,0.0,0.0,0.00153,0.0,260.32,0.0,0.0,0.15386,0.0,0.0,31.8,70.9,81.6791,0.0,0.0,0,32.0714,0.0,875.393,0.0,0.00093,0.0,14.5945,0.0,131.38,0.2505,0.0,0.0
2023-02-09 00:40:00,146.492,2300.55,0.0,0,12.44,75.9111,0.0,0.0,20.5784,0.0,0.0,122.899,53.6232,97.9964,0.0,20.28,0.0,0,1487.55,0.0,0.0,0.0,0.0,0.001526,43.0043,0.0,59.6879,25.8309,0.0,0.0,9.65779,0.0,0.0,918.87,0.0,0.0,0.0,0.0,0.024,0.0,0.0,556.625,0.0,0.0,0.0,0.00153,0.0,257.647,0.0,0.0,0.12371,0.0,0.0,30.8,70.9,77.1966,0.0,0.0,0,29.702,0.0,872.561,0.0,0.0363,0.0,12.8894,0.0,138.86,0.0,0.0,0.0
2023-02-09 00:45:00,138.524,2316.44,0.0,0,11.75,83.5011,0.0,0.0,19.2034,0.0,0.0,108.359,54.6926,84.0971,0.0,17.66,0.0,0,1441.53,0.0,0.0,0.0,0.0,0.001526,37.0444,0.0,61.9223,26.3967,0.0,0.0,9.45168,0.0,0.0,926.835,0.0,0.0,0.0,0.0,0.024,0.0,0.0,566.61,0.0,0.0,0.0,0.00153,0.0,257.061,0.0,0.0,0.14381,0.0,0.0,31.4,71.0,72.6921,0.0,0.0,0,26.7137,0.0,879.275,0.0,0.0,0.0,13.9529,0.0,136.726,0.0,0.0,0.0
