SETTLEMENTDATE,BASTYAN,BBP31,BUTLERSG,CETHANA,CLUNY,CTHLWF,DEVILS_G,DG_TAS1,FISHER,GORDON,GRANWF,JBUTTERS,LEM_WIL,LI_WY_CA,LK_ECHO,MACKNTSH,MEADOWBK,MUSSELRO,NETIC,PALOONA,PTINA110,PTINA220,REECE,REPULSE,ROWALLAN,TARRALEA,TREVALLN,TRIBUTE,TUNGATIN,TVCCPS,WOOLNTH1
2024-01-08 00:00:00,0.0,0.0,9.0,80.2819,10.4248,0.0,55.4973,0,0.0,11.7225,26.04,0.0,36.2,114.654,28.1952,0.0,5.97322,0.0,250.399993896,11.93,70.0442,84.97,99.07,16.401,0.0,67.9,30.1,0.0,102.68,0,-0.69
2024-01-08 00:05:00,0.0,0.0,9.0,80.5813,10.4825,0.0,56.9573,0,0.0,13.0788,22.86,0.0,36.3,114.601,28.0873,0.0,5.97322,0.0,258.350006104,12.05,70.1435,86.64,100.09,16.4718,0.0,68.1,30.13,0.0,103.57,0,-0.63
2024-01-08 00:10:00,0.0,0.0,9.0,80.1621,10.4825,0.0,56.4251,0,0.0,12.3038,21.46,0.0,36.5,114.536,28.1029,0.0,5.94464,0.0,273.0,11.91,70.0742,64.71,98.73,16.4779,0.0,68.1,30.12,0.0,102.84,0,-0.67
2024-01-08 00:15:00,0.0,0.0,9.0,80.4016,10.4294,0.00305,56.3225,0,0.0,11.7225,22.67,0.0,36.4,114.834,28.049,0.0,5.74458,0.0,295.589996338,11.91,70.0396,36.81,99.2,16.4144,0.0,67.9,30.19,0.0,102.85,0,-0.33
2024-01-08 00:20:00,0.0,0.0,9.0,80.1022,10.5008,0.0,56.386,0,0.0,12.885,22.92,0.0,35.7,115.184,28.0473,0.0,6.11612,0.0,295.799987793,11.9,70.0342,32.71,99.76,16.6366,0.0,67.8,30.12,0.0,103.38,0,-0.24
2024-01-08 00:25:00,0.0,0.0,9.0,80.222,10.4111,0.00305,56.513,0,0.0,12.3038,22.19,0.0,35.7,115.276,28.0977,0.0,5.8589,0.0,279.290008545,11.91,69.925,53.93,99.56,16.2936,0.0,67.8,30.13,0.0,102.98,0,-0.2
2024-01-08 00:30:00,0.0,0.0,9.0,79.9825,10.4871,1.20546,55.612,0,0.0,11.9162,19.34,0.0,36.4,114.355,28.0803,0.0,5.83032,0.0,260.75,11.98,69.711,71.36,98.9,16.4779,0.0,67.8,30.25,0.0,102.59,0,-0.45
2024-01-08 00:35:00,0.0,0.0,9.0,0.0,10.4111,1.31533,56.4373,0,0.0,12.3038,16.4,0.0,36.3,115.136,28.1238,0.0,5.8589,2.1,329.220001221,11.89,69.9842,86.16,99.55,16.5219,0.0,67.8,30.12,0.0,103.07,0,-0.41
2024-01-08 00:40:00,0.0,0.0,9.0,0.0,10.5109,0.0,55.573,0,0.0,11.5287,13.25,0.0,35.5,114.262,28.1047,0.0,5.80174,4.0,305.950012207,12.01,69.9296,85.09,98.4,16.567,0.0,67.9,30.21,0.0,102.35,0,-0.55
2024-01-08 00:45:00,0.0,0.0,9.0,0.0,10.4724,0.0,55.8025,0,0.0,11.9162,10.54,0.0,35.7,114.382,28.0699,0.0,5.94464,4.3,306.899993896,11.92,69.8903,84.98,99.0,16.5414,0.0,68.1,30.26,0.0,102.54,0,-0.38
